date,tweet_users_count,tweet_count,tweet_ratio,week
2020-10-10,725,1721,2.3737931034482758,Week 1
2020-10-17,549,1372,2.4990892531876137,Week 2
2020-10-24,553,1204,2.1772151898734178,Week 3
2020-10-31,630,1315,2.0873015873015874,Week 4
2020-11-07,488,1119,2.293032786885246,Week 5
2020-11-14,434,1069,2.4631336405529956,Week 6
2020-11-21,452,1134,2.5088495575221237,Week 7
2020-11-28,925,1711,1.8497297297297297,Week 8
2020-12-05,424,1190,2.806603773584906,Week 9
2020-12-12,340,915,2.6911764705882355,Week 10
2020-12-19,385,1037,2.6935064935064936,Week 11
2020-12-26,469,1128,2.405117270788913,Week 12
2021-01-02,95,233,2.4526315789473685,Week 13
2021-01-09,72,176,2.4444444444444446,Week 14
2021-01-16,75,230,3.066666666666667,Week 15
2021-01-23,71,306,4.309859154929577,Week 16
2021-01-30,88,337,3.8295454545454546,Week 17
2021-02-06,85,308,3.623529411764706,Week 18
2021-02-13,364,652,1.7912087912087913,Week 19
2021-02-20,71,311,4.380281690140845,Week 20
2021-02-27,69,391,5.666666666666667,Week 21
2021-03-06,50,409,8.18,Week 22
2021-03-13,207,623,3.0096618357487923,Week 23
2021-03-20,73,483,6.616438356164384,Week 24
2021-03-27,87,527,6.057471264367816,Week 25
