filename,normalized_entropy,unique_words,total_words,user_count
2020-01-7.jsonl,12.276130573968192,19989,75620,4755
2021-12-401.jsonl,12.359890942841691,53375,390310,22138
2022-01-423.jsonl,11.60686487582563,11971,41282,2746
2021-01-226.jsonl,11.560621612390142,13808,55631,3490
2022-04-480.jsonl,11.597253048395428,11298,40309,2295
2020-04-89.jsonl,11.663937581996658,17450,79797,4621
2022-01-431.jsonl,11.462188478273099,19261,94690,6386
2022-04-460.jsonl,12.096645497095805,17905,68095,3731
2020-10-136.jsonl,11.708063131728974,10644,35088,1786
2020-01-26.jsonl,12.025047657056628,13283,43495,2399
2020-10-172.jsonl,11.586569918920926,12833,49862,2758
2022-10-588.jsonl,12.227209239278496,52330,338638,26066
2022-07-538.jsonl,11.753909486240454,23977,132425,7391
2021-10-369.jsonl,11.667064257375994,12591,46170,2477
2020-01-10.jsonl,12.005314625230254,14950,54724,3001
2021-01-217.jsonl,11.667832634510347,15345,64135,4008
2021-10-368.jsonl,11.541020537011134,12797,49218,3102
2021-01-200.jsonl,12.213812619231966,27096,135876,7739
2021-01-205.jsonl,11.47610239846965,22271,128435,7579
2020-01-3.jsonl,11.803981082384885,20167,93247,5368
2020-10-147.jsonl,11.73430960037327,17911,81282,4291
2023-01-605.jsonl,11.559793199128189,14377,58533,3931
2021-10-350.jsonl,11.382378526024434,8855,29087,1677
2022-04-478.jsonl,11.487797971616128,11359,42387,2624
2022-08-542.jsonl,11.80892606025077,12587,43167,2493
2023-01-641.jsonl,11.79879426291875,14655,53621,3261
2022-01-412.jsonl,11.115623715241934,9167,32282,1795
2022-04-446.jsonl,11.421540414510545,15303,62614,3024
2022-10-582.jsonl,12.011930604112495,32886,181811,13272
2022-10-552.jsonl,12.165448541013417,17632,65713,3577
2020-10-135.jsonl,11.548433583665032,12511,47417,2821
2020-04-63.jsonl,11.650551728892639,11583,40891,2202
2023-01-609.jsonl,11.573185146691822,15202,68223,3655
2022-10-547.jsonl,12.110073722695278,24825,121056,6966
2022-04-484.jsonl,12.01575876063317,39313,238962,15655
2020-01-36.jsonl,11.645083910496396,10730,36200,2032
2022-10-576.jsonl,11.911082016480478,13899,48660,2837
2022-01-416.jsonl,11.533023875746155,10457,35518,1994
2020-07-122.jsonl,11.383823600489043,12814,54001,2855
2022-07-500.jsonl,12.15941909898314,39596,236848,15691
2020-10-173.jsonl,11.663404738163438,13543,53254,3074
2022-01-417.jsonl,11.89382959484872,20593,93115,5689
2022-04-452.jsonl,11.730021187295097,22317,117992,6414
