id,title,user_count,unique_word_count,weekly_trend,mean_user_count
2021-12-401,鬼滅の刃 遊郭編,22138,50779,横ばい,多い
2022-10-588,チェンソーマン,26066,49117,下降,多い
2022-07-500,リコリス・リコイル,15691,36649,上昇,多い
2022-04-484,SPY×FAMILY（Season 1 第1クール）,15655,36382,山型,多い
2022-10-582,ぼっち・ざ・ろっく!,13272,30587,上昇,多い
2021-01-200,ゆるキャン△ SEASON2,7739,25651,下降,低い
2022-10-547,SPY×FAMILY（Season 1 第2クール）,6966,24038,下降,低い
2022-07-538,ラブライブ!スーパースター!!（第2期）,7391,22309,下降,低い
2022-04-452,ラブライブ!虹ヶ咲学園スクールアイドル同好会（第2期）,6414,20549,山型,低い
2021-01-205,五等分の花嫁∬,7579,19971,横ばい,低い
2022-01-417,その着せ替え人形は恋をする,5689,19296,上昇,低い
2020-01-7,映像研には手を出すな!,4755,18742,山型,中くらい
2020-01-3,マギアレコード 魔法少女まどか☆マギカ外伝,5368,17951,下降,低い
2022-01-431,プリンセスコネクト!Re:Dive Season2,6386,17863,山型,低い
2022-10-552,ポプテピピック TVアニメーション作品第二シリーズ,3577,17210,下降,中くらい
2022-04-460,パリピ孔明,3731,17191,上昇,中くらい
2020-10-147,ラブライブ!虹ヶ咲学園スクールアイドル同好会（第1期）,4291,16105,横ばい,中くらい
2020-04-89,かぐや様は告らせたい？〜天才たちの恋愛頭脳戦〜,4621,15812,上昇,中くらい
2022-04-446,じゃんたま PONG☆,3024,14669,上昇,中くらい
2021-01-217,ワールドトリガー 2ndシーズン,4008,14417,山型,中くらい
2023-01-609,にじよん あにめーしょん,3655,14404,山型,中くらい
2020-01-10,へやキャン△,3001,14233,下降,中くらい
2023-01-641,ポケットモンスター めざせポケモンマスター,3261,14219,横ばい,中くらい
2022-10-576,アキバ冥途戦争,2837,13517,下降,中くらい
2023-01-605,お兄ちゃんはおしまい!,3931,13277,横ばい,中くらい
2020-10-173,神様になった日,3074,12968,下降,中くらい
2021-01-226,無職転生 〜異世界行ったら本気だす〜（第1期第1クール）,3490,12782,下降,中くらい
2020-01-26,推しが武道館いってくれたら死ぬ,2399,12530,山型,中くらい
2022-08-542,風都探偵,2493,12275,下降,中くらい
2021-10-368,無職転生 〜異世界行ったら本気だす〜（第1期第2クール）,3102,12061,横ばい,中くらい
2021-10-369,吸血鬼すぐ死ぬ,2477,11936,横ばい,中くらい
2020-10-172,ご注文はうさぎですか? BLOOM,2758,11817,山型,中くらい
2020-10-135,魔女の旅々,2821,11682,山型,中くらい
2020-07-122,彼女、お借りします（第1期）,2855,11608,山型,中くらい
2022-01-423,進撃の巨人 The Final Season（Part 2）,2746,11032,下降,中くらい
2022-04-480,かぐや様は告らせたい -ウルトラロマンティック-,2295,10756,下降,中くらい
2020-04-63,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,2202,10633,上昇,中くらい
2022-04-478,まちカドまぞく 2丁目,2624,10622,横ばい,中くらい
2022-01-416,明日ちゃんのセーラー服,1994,9912,横ばい,中くらい
2020-01-36,22/7,2032,9831,横ばい,中くらい
2020-10-136,アサルトリリィ BOUQUET,1786,9380,下降,中くらい
2022-01-412,からかい上手の高木さん3,1795,8487,横ばい,中くらい
2021-10-350,結城友奈は勇者である -大満開の章-,1677,8174,下降,中くらい
