title,user_count,word_count,w_label,m_label
映像研には手を出すな!,4755,18742,山型,中くらい
鬼滅の刃 遊郭編,22138,50779,横ばい,多い
進撃の巨人 The Final Season（Part 2）,2746,11032,下降,中くらい
無職転生 〜異世界行ったら本気だす〜（第1期第1クール）,3490,12782,下降,中くらい
かぐや様は告らせたい -ウルトラロマンティック-,2295,10756,下降,中くらい
かぐや様は告らせたい？〜天才たちの恋愛頭脳戦〜,4621,15812,上昇,中くらい
プリンセスコネクト!Re:Dive Season2,6386,17863,山型,低い
パリピ孔明,3731,17191,上昇,中くらい
アサルトリリィ BOUQUET,1786,9380,下降,中くらい
推しが武道館いってくれたら死ぬ,2399,12530,山型,中くらい
ご注文はうさぎですか? BLOOM,2758,11817,山型,中くらい
チェンソーマン,26066,49117,下降,多い
ラブライブ!スーパースター!!（第2期）,7391,22309,下降,低い
吸血鬼すぐ死ぬ,2477,11936,横ばい,中くらい
へやキャン△,3001,14233,下降,中くらい
ワールドトリガー 2ndシーズン,4008,14417,山型,中くらい
無職転生 〜異世界行ったら本気だす〜（第1期第2クール）,3102,12061,横ばい,中くらい
ゆるキャン△ SEASON2,7739,25651,下降,低い
五等分の花嫁∬,7579,19971,横ばい,低い
マギアレコード 魔法少女まどか☆マギカ外伝,5368,17951,下降,低い
ラブライブ!虹ヶ咲学園スクールアイドル同好会（第1期）,4291,16105,横ばい,中くらい
お兄ちゃんはおしまい!,3931,13277,横ばい,中くらい
結城友奈は勇者である -大満開の章-,1677,8174,下降,中くらい
まちカドまぞく 2丁目,2624,10622,横ばい,中くらい
風都探偵,2493,12275,下降,中くらい
ポケットモンスター めざせポケモンマスター,3261,14219,横ばい,中くらい
からかい上手の高木さん3,1795,8487,横ばい,中くらい
じゃんたま PONG☆,3024,14669,上昇,中くらい
ぼっち・ざ・ろっく!,13272,30587,上昇,多い
ポプテピピック TVアニメーション作品第二シリーズ,3577,17210,下降,中くらい
魔女の旅々,2821,11682,山型,中くらい
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,2202,10633,上昇,中くらい
にじよん あにめーしょん,3655,14404,山型,中くらい
SPY×FAMILY（Season 1 第2クール）,6966,24038,下降,低い
SPY×FAMILY（Season 1 第1クール）,15655,36382,山型,多い
22/7,2032,9831,横ばい,中くらい
アキバ冥途戦争,2837,13517,下降,中くらい
明日ちゃんのセーラー服,1994,9912,横ばい,中くらい
彼女、お借りします（第1期）,2855,11608,山型,中くらい
リコリス・リコイル,15691,36649,上昇,多い
神様になった日,3074,12968,下降,中くらい
その着せ替え人形は恋をする,5689,19296,上昇,低い
ラブライブ!虹ヶ咲学園スクールアイドル同好会（第2期）,6414,20549,山型,低い
