id,開始日-終了日,開始日,終了日,作品名,制作会社,主放送局・系列,話数,放送期間,リンク
2020-01-0,1月3日 - 3月27日,2020年1月3日,2020年3月27日,恋する小惑星,動画工房,AT-X、TOKYO MXほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E6%81%8B%E3%81%99%E3%82%8B%E5%B0%8F%E6%83%91%E6%98%9F
2020-01-1,1月4日 - 3月21日,2020年1月4日,2020年3月21日,ダーウィンズゲーム,Nexus,TOKYO MX、AT-Xほか,全11話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%80%E3%83%BC%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%BA%E3%82%B2%E3%83%BC%E3%83%A0
2020-01-2,1月4日 - 3月28日,2020年1月4日,2020年3月28日,へんたつ,irodori,TOKYO MX、BS11ほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%B8%E3%82%93%E3%81%9F%E3%81%A4
2020-01-3,1月5日 - 3月29日,2020年1月5日,2020年3月29日,マギアレコード 魔法少女まどか☆マギカ外伝,シャフト,TOKYO MX、AT-Xほか,全13話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%AE%E3%82%A2%E3%83%AC%E3%82%B3%E3%83%BC%E3%83%89_%E9%AD%94%E6%B3%95%E5%B0%91%E5%A5%B3%E3%81%BE%E3%81%A9%E3%81%8B%E2%98%86%E3%83%9E%E3%82%AE%E3%82%AB%E5%A4%96%E4%BC%9D_(%E3%82%A2%E3%83%8B%E3%83%A1)
2020-01-4,1月5日 - 2021年6月23日,2020年1月5日,2021年6月23日,りばあす[注1 1],ライデンフィルム,TOKYO MX,全49話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/Re%E3%83%90%E3%83%BC%E3%82%B9_for_you
2020-01-5,1月5日 - 3月22日,2020年1月5日,2020年3月22日,八十亀ちゃんかんさつにっき 2さつめ,サエッタ,TOKYO MX、TVA、AT-X,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E5%85%AB%E5%8D%81%E4%BA%80%E3%81%A1%E3%82%83%E3%82%93%E3%81%8B%E3%82%93%E3%81%95%E3%81%A4%E3%81%AB%E3%81%A3%E3%81%8D
2020-01-6,1月6日 - 3月23日,2020年1月6日,2020年3月23日,ID:INVADED イド:インヴェイデッド,NAZ,TOKYO MX、AT-Xほか,全13話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/ID%EF%BC%9AINVADED_%E3%82%A4%E3%83%89%EF%BC%9A%E3%82%A4%E3%83%B3%E3%83%B4%E3%82%A7%E3%82%A4%E3%83%87%E3%83%83%E3%83%89
2020-01-7,1月6日 - 3月23日,2020年1月6日,2020年3月23日,映像研には手を出すな!,サイエンスSARU,NHK総合,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E6%98%A0%E5%83%8F%E7%A0%94%E3%81%AB%E3%81%AF%E6%89%8B%E3%82%92%E5%87%BA%E3%81%99%E3%81%AA!
2020-01-8,1月6日 - 3月30日,2020年1月6日,2020年3月30日,pet,ジェノスタジオ,TOKYO MXほか,全13話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%9A%E3%83%83%E3%83%88_(%E6%BC%AB%E7%94%BB)
2020-01-9,1月6日 - 2月24日,2020年1月6日,2020年2月24日,おーばーふろぉ,studio HōKIBOSHI,TOKYO MX,全8話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%8A%E3%83%BC%E3%81%B0%E3%83%BC%E3%81%B5%E3%82%8D%E3%81%89
2020-01-10,1月6日 - 3月23日,2020年1月6日,2020年3月23日,へやキャン△,C-Station,AT-X、TOKYO MX、BS11、YBS,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%86%E3%82%8B%E3%82%AD%E3%83%A3%E3%83%B3%E2%96%B3_(%E3%82%A2%E3%83%8B%E3%83%A1)
2020-01-11,1月7日 - 3月24日,2020年1月7日,2020年3月24日,群れなせ!シートン学園,Studio五組,TOKYO MXほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E7%BE%A4%E3%82%8C%E3%81%AA%E3%81%9B!%E3%82%B7%E3%83%BC%E3%83%88%E3%83%B3%E5%AD%A6%E5%9C%92
2020-01-12,1月7日 - 3月24日,2020年1月7日,2020年3月24日,なつなぐ!,IMAGICA Lab.,TOKYO MX、RKK,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%AA%E3%81%A4%E3%81%AA%E3%81%90!
