期間,時間,放送局,対象地域,備考,タイプ,配信サイト,話数,サブタイトル,脚本,絵コンテ,演出,作画監督,総作画監督,開始,終了
2018年1月1日,月曜 20:00 - 21:00,TOKYO MX,東京都,,放送,,,,,,,,,2018-01-01,
2018年1月3日,水曜 0:00 - 1:00（火曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,,,,,,,2018-01-03,
2018年1月4日,木曜 22:30 - 23:30,KBS京都,京都府,,放送,,,,,,,,,2018-01-04,
2018年1月4日,木曜 1:30 - 2:30（水曜深夜）,サンテレビ,兵庫県,,放送,,,,,,,,,2018-01-04,
2018年1月5日,金曜 2:05 - 3:05（木曜深夜）,テレビ愛知,愛知県,,放送,,,,,,,,,2018-01-05,
2018年1月5日,金曜 1:35 - 2:35（木曜深夜）,テレビ北海道,北海道,,放送,,,,,,,,,2018-01-05,
2018年1月5日,金曜 2:00 - 3:00（木曜深夜）,TVQ九州放送,福岡県,,放送,,,,,,,,,2018-01-05,
2018年1月7日 - 4月1日,日曜 22:30 - 23:00,TOKYO MX,東京都,,放送,,,,,,,,,2018-01-07,2018-04-01
2018年1月7日 - 4月1日,日曜 23:00 - 23:30,KBS京都,京都府,,放送,,,,,,,,,2018-01-07,2018-04-01
2018年1月8日 - 4月2日,月曜 0:30 - 1:00（日曜深夜）,サンテレビ,兵庫県,,放送,,,,,,,,,2018-01-08,2018-04-02
2018年1月8日 - 4月2日,月曜 2:05 - 2:35（日曜深夜）,テレビ愛知,愛知県,,放送,,,,,,,,,2018-01-08,2018-04-02
2018年1月10日 - 4月4日,水曜 0:00 - 0:30（火曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,,,,,,,2018-01-10,2018-04-04
2018年1月10日 - 4月4日,水曜 2:05 - 2:35（火曜深夜）,テレビ北海道,北海道,,放送,,,,,,,,,2018-01-10,2018-04-04
2018年1月10日 - 4月4日,水曜 2:35 - 3:05（火曜深夜）,TVQ九州放送,福岡県,,放送,,,,,,,,,2018-01-10,2018-04-04
2018年5月19日,土曜 19:30 - 20:30,TOKYO MX,東京都,,放送,,,,,,,,,2018-05-19,
2018年5月20日,日曜 2:50 - 3:50（土曜深夜）,テレビ北海道,北海道,,放送,,,,,,,,,2018-05-20,
2018年5月21日,月曜 2:05 - 3:05（日曜深夜）,テレビ愛知,愛知県,,放送,,,,,,,,,2018-05-21,
2018年5月21日,月曜 3:35 - 4:35（日曜深夜）,TVQ九州放送,福岡県,,放送,,,,,,,,,2018-05-21,
2018年5月22日,火曜 23:00 - 水曜 0:00,KBS京都,京都府,,放送,,,,,,,,,2018-05-22,
2018年5月23日,水曜 1:30 - 2:30（火曜深夜）,サンテレビ,兵庫県,,放送,,,,,,,,,2018-05-23,
2018年5月25日,金曜 1:30 - 2:30（木曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,,,,,,,2018-05-25,
2020年4月5日,日曜 22:30 - 23:30,TOKYO MX,東京都,,放送,,,,,,,,,2020-04-05,
2020年4月5日,日曜 22:30 - 23:30,KBS京都,京都府,,放送,,,,,,,,,2020-04-05,
2020年4月6日,月曜 1:30 - 2:30（日曜深夜）,サンテレビ,兵庫県,,放送,,,,,,,,,2020-04-06,
2020年4月8日,水曜 0:00 - 1:00（火曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,,,,,,,2020-04-08,
2020年4月8日,水曜 2:35 - 3:35（火曜深夜）,テレビ愛知,愛知県,,放送,,,,,,,,,2020-04-08,
2020年4月8日,水曜 2:35 - 3:35（火曜深夜）,テレビ北海道,北海道,,放送,,,,,,,,,2020-04-08,
2020年4月9日,木曜 2:35 - 3:35（水曜深夜）,TVQ九州放送,福岡県,,放送,,,,,,,,,2020-04-09,
