タイプ,開始,開始,終了,曜日,時間,放送局,配信サイト,対象地域,備考
放送,開始,2020-01-09,2020-03-26,木曜,22:30 - 23:00,TOKYO MX,,東京都,製作参加 / リピート放送あり
放送,開始,2020-01-10,2020-03-27,金曜,0:00 - 0:30,BSフジ,,日本全域,製作参加 / アニメギルド枠
放送,開始,2020-01-10,2020-03-27,金曜,1:00 - 1:30,サンテレビ,,兵庫県,
放送,開始,2020-01-10,2020-03-27,金曜,2:00 - 2:30,北海道文化放送,,北海道,製作参加
放送,開始,2020-01-10,2020-03-27,金曜,21:30 - 22:00,AT-X,,日本全域,リピート放送あり
配信,開始,2020-01-09,,木曜,22:30 更新,,,フジテレビオンデマンド,,
配信,開始,2020-01-13,,月曜,更新,,,Amazonプライム・ビデオ,,
配信,開始,2020-01-13,,月曜,更新,,,J:COMオンデマンド,,
配信,開始,2020-01-13,,月曜,更新,,,みるプラス,,
配信,開始,2020-01-13,,月曜,更新,,,ビデオパス,,
配信,開始,2020-01-13,,月曜,更新,,,auスマートパスプレミアム,,
配信,開始,2020-01-13,,月曜,更新,,,ひかりTV,,
配信,開始,2020-01-13,,月曜,更新,,,dアニメストア,,
配信,開始,2020-01-13,,月曜,更新,,,U-NEXT,,
配信,開始,2020-01-13,,月曜,更新,,,アニメ放題,,
配信,開始,2020-01-13,,月曜,更新,,,AbemaTV,,
配信,開始,2020-01-13,,月曜,更新,,,ニコニコ生放送,,
配信,開始,2020-01-13,,月曜,更新,,,ニコニコチャンネル,,
配信,開始,2020-01-13,,月曜,更新,,,GYAO!,,
配信,開始,2020-01-13,,月曜,更新,,,あにてれ,,
配信,開始,2020-01-13,,月曜,更新,,,バンダイチャンネル,,
配信,開始,2020-01-13,,月曜,更新,,,Hulu,,
配信,開始,2020-01-13,,月曜,更新,,,Google Play,,
配信,開始,2020-01-13,,月曜,更新,,,アクトビラ,,
配信,開始,2020-01-13,,月曜,更新,,,Rakuten TV,,
配信,開始,2020-01-13,,月曜,更新,,,ビデオマーケット,,
配信,開始,2020-01-13,,月曜,更新,,,GYAO!ストア,,
