期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2020年1月11日 - 3月28日,土曜 0:30 - 1:00（金曜深夜）,TOKYO MX,東京都,,放送,2020-01-11,2020-03-28,
2020年1月11日 - 3月28日,土曜 0:30 - 1:00（金曜深夜）,BS11,日本全域,製作参加 / BS放送 / 『ANIME+』枠,放送,2020-01-11,2020-03-28,
2020年1月11日 - 3月28日,土曜 0:30 - 1:00（金曜深夜）,AT-X,日本全域,CS放送 / 字幕放送[30] / リピート放送あり,放送,2020-01-11,2020-03-28,
2020年1月11日 - 3月28日,土曜 1:44 - 2:14（金曜深夜）,北海道文化放送,北海道,製作参加,放送,2020-01-11,2020-03-28,
2020年1月13日 - 3月30日,月曜 2:00 - 2:30（日曜深夜）,西日本放送,香川県・岡山県,,放送,2020-01-13,2020-03-30,
2020年1月14日 - 3月31日,火曜 0:30 - 1:00（月曜深夜）,群馬テレビ,群馬県,,放送,2020-01-14,2020-03-31,
2020年1月14日 - 3月31日,火曜 0:30 - 1:00（月曜深夜）,とちぎテレビ,栃木県,,放送,2020-01-14,2020-03-31,
2020年1月15日 - 4月1日,水曜 3:30 - 4:00（火曜深夜）,毎日放送,近畿広域圏,『アニメ特区』第3部,放送,2020-01-15,2020-04-01,
2020年1月16日 - 4月2日,木曜 1:00 - 1:30（水曜深夜）,千葉テレビ,千葉県,,放送,2020-01-16,2020-04-02,
2020年1月31日 - 4月17日,金曜 1:55 - 2:21（木曜深夜）,長崎文化放送,長崎県,『あに。』枠,放送,2020-01-31,2020-04-17,
2020年1月11日 - ,土曜 0:15 - ,,,見放題,配信,2020-01-11,,Amazon Prime Video 
2022年1月6日 - 3月24日,金曜 0:30 - 1:00（木曜深夜）,サンテレビ,兵庫県,,放送,2022-01-06,2022-03-24,
2022年4月2日 - 6月18日,土曜 1:30 - 2:00（金曜深夜）,TOKYO MX,東京都,,放送,2022-04-02,2022-06-18,
2022年4月3日 - 6月19日,日曜 0:00 - 0:30（土曜深夜）,BS日テレ,日本全域,BS放送 / 『アニメにむちゅ〜』枠,放送,2022-04-03,2022-06-19,
2022年4月5日 - 6月21日,火曜 0:30 - 1:00（月曜深夜）,サンテレビ,兵庫県,,放送,2022-04-05,2022-06-21,
2022年4月5日 - 6月21日,火曜 1:00 - 1:30（月曜深夜）,群馬テレビ,群馬県,,放送,2022-04-05,2022-06-21,
2022年4月5日 - 6月21日,火曜 23:00 - 23:30,AT-X,日本全域,CS放送 / 字幕放送[31] / リピート放送あり,放送,2022-04-05,2022-06-21,
2022年4月6日 - 6月22日,水曜 0:00 - 0:30（火曜深夜）,BSフジ,日本全域,製作参加 / BS放送 / 『アニメギルド』枠,放送,2022-04-06,2022-06-22,
2022年4月7日 - 6月23日,木曜 1:40 - 2:10（水曜深夜）,北海道文化放送,北海道,製作参加,放送,2022-04-07,2022-06-23,
2022年4月8日 - 6月24日,金曜 1:00 - 1:30（木曜深夜）,テレビ神奈川,神奈川県,,放送,2022-04-08,2022-06-24,
2022年4月8日 - 6月24日,金曜 23:00 - 23:30,とちぎテレビ,栃木県,,放送,2022-04-08,2022-06-24,
2022年5月8日 -,日曜 2:30 - 3:00（土曜深夜）,テレビ長崎,長崎県,,放送,2022-05-08,,
2022年4月1日 - ,金曜 25:30 - ,,,見放題独占,配信,2022-04-01,,Amazon Prime Video
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,Amazon Prime Video
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,dアニメストア
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,DMM.com
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,Google Play
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,GYAO!ストア
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,HAPPY!動画
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,J:COMオンデマンド
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,milplus
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,music.jp
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,Rakuten TV
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,TELASA
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,U-NEXT
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,VIDEX
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,YouTube（都度課金）
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,ニコニコチャンネル
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,バンダイチャンネル
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,ひかりTV
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,ビデオマーケット
2022年4月15日 - ,金曜 25:30 - ,,,レンタル,配信,2022-04-15,,ムービーフルPlus
