開始,終了,タイプ,放送局,配信サイト,時間,フジテレビ
2020-04-10,,放送,フジテレビ,,金曜 0:55 - 1:25（木曜深夜）,
2020-04-10,,放送,岩手めんこいテレビ,,金曜 0:55 - 1:25（木曜深夜）,
2020-04-10,,放送,さくらんぼテレビ,,金曜 0:55 - 1:25（木曜深夜）,
2020-04-10,,放送,福島テレビ,,金曜 0:55 - 1:25（木曜深夜）,
2020-04-10,,放送,サガテレビ,,金曜 0:55 - 1:25（木曜深夜）,
2020-04-10,,放送,テレビ愛媛,,金曜 1:15 - 1:45（木曜深夜）,
2020-04-10,,放送,秋田テレビ,,金曜 1:20 - 1:50（木曜深夜）,
2020-04-10,,放送,長野放送,,金曜 1:30 - 2:00（木曜深夜）,
2020-04-10,,放送,テレビ静岡,,金曜 1:35 - 2:05（木曜深夜）,
2020-04-10,,放送,NST新潟総合テレビ,,金曜 1:45 - 2:15（木曜深夜）,
2020-04-10,,放送,テレビ熊本,,金曜 1:45 - 2:15（木曜深夜）,
2020-04-10,,放送,仙台放送,,金曜 1:55 - 2:25（木曜深夜）,
2020-04-10,,放送,テレビ新広島,,金曜 1:55 - 2:25（木曜深夜）,
2020-04-10,,放送,テレビ西日本,,金曜 1:55 - 2:25（木曜深夜）,
2020-04-10,,放送,鹿児島テレビ,,金曜 2:00 - 2:30（木曜深夜）,
2020-04-10,,放送,東海テレビ,,金曜 2:10 - 2:40（木曜深夜）金曜 2:15 - 2:45（木曜深夜）,
2020-04-10,,放送,関西テレビ,,金曜 2:25 - 2:55（木曜深夜）,
2020-04-14,,放送,山陰中央テレビ,,火曜 1:25 - 1:55（月曜深夜）火曜 1:20 - 1:50（月曜深夜）,
2020-05-10,,放送,アニマックス,,日曜 19:30 - 20:00,
2020-07-19,2020-09-27,放送,福井テレビ,,日曜 9:30 - 10:00,
2020-07-24,2020-10-02,放送,高知さんさんテレビ,,金曜 0:55 - 1:25（木曜深夜）,
2020-09-16,,放送,北海道文化放送,,水曜 1:50 - 2:20（火曜深夜）,
2020-04-10,,配信,,FOD,金曜 3:00 更新,
2020-04-10,,配信,,dアニメストア,金曜 3:00 更新,
2020-04-12,,配信,,GYAO!,日曜 12:00 更新,
2020-04-12,,配信,,ビデオマーケット,日曜 12:00 更新,
2020-04-12,,配信,,DMM.com,日曜 12:00 更新,
2020-04-12,,配信,,music.jp,日曜 12:00 更新,
2020-04-12,,配信,,Netflix,日曜 12:00 更新,
2020-04-12,,配信,,dTV,日曜 12:00 更新,
2020-04-12,,配信,,ひかりTV,日曜 12:00 更新,
2020-04-12,,配信,,バンダイチャンネル,日曜 12:00 更新,
2020-04-12,,配信,,J:COMオンデマンド メガパック,日曜 12:00 更新,
2020-04-12,,配信,,ビデオパス,日曜 12:00 更新,
2020-04-12,,配信,,U-NEXT,日曜 12:00 更新,
2020-04-12,,配信,,アニメ放題,日曜 12:00 更新,
2020-04-12,,配信,,Amazonプライム・ビデオ,日曜 12:00 更新,
2020-04-12,,配信,,Tver,日曜 12:00 更新,
2020-04-12,,配信,,ニコニコチャンネル,日曜 12:00 更新,
2020-04-12,,配信,,ニコニコ生放送,日曜 23:00 - 23:30,
