開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2020-10-01,2020-12-24,放送,TOKYO MX,,木曜 23:30 - 金曜 0:00,2020年10月1日 - 12月24日,東京都,製作参加
2020-10-01,2020-12-24,放送,BS11,,木曜 23:30 - 金曜 0:00,2020年10月1日 - 12月24日,日本全域,製作参加 / BS放送 / 『ANIME+』枠
2020-10-02,2020-12-25,放送,サンテレビ,,金曜 0:30 - 1:00（木曜深夜）,2020年10月2日 - 12月25日,兵庫県,
2020-10-03,2020-12-26,放送,AT-X,,土曜 0:00 - 0:30（金曜深夜）,2020年10月3日 - 12月26日,日本全域,CS放送 / リピート放送あり
2020-10-01,,配信,,dアニメストア,木曜 23:30 更新（第13話まで）,,,,
2020-10-01,,配信,,ひかりTV,金曜 0:30（木曜深夜） 更新（第14話以降）,,,,
2020-10-09,,配信,,ABEMA,金曜 12:00 更新,,,,
2020-10-09,,配信,,Amazon Prime Video,金曜 12:00 更新,,,,
2020-10-09,,配信,,Netflix,金曜 12:00 更新,,,,
2020-10-09,,配信,,U-NEXT,金曜 12:00 更新,,,,
2020-10-09,,配信,,アニメ放題,金曜 12:00 更新,,,,
2020-10-09,,配信,,FOD,金曜 12:00 更新,,,,
2020-10-09,,配信,,ビデオマーケット,金曜 12:00 更新,,,,
2020-10-09,,配信,,J:COMオンデマンド,金曜 12:00 更新,,,,
2020-10-09,,配信,,TELASA,金曜 12:00 更新,,,,
2020-10-09,,配信,,みるプラス,金曜 12:00 更新,,,,
2020-10-09,,配信,,バンダイチャンネル,金曜 12:00 更新,,,,
2020-10-09,,配信,,dTV,金曜 12:00 更新,,,,
2020-10-09,,配信,,あにてれ,金曜 12:00 更新,,,,
2020-10-09,,配信,,GYAO!,金曜 12:00 更新,,,,
2020-10-09,,配信,,ニコニコチャンネル,金曜 12:00 更新,,,,
2020-10-09,,配信,,music.jp,金曜 12:00 更新,,,,
2020-10-09,,配信,,GYAO!ストア,金曜 12:00 更新,,,,
2020-10-09,,配信,,DMM.com,金曜 12:00 更新,,,,
2020-10-09,,配信,,ムービーフルPlus,金曜 12:00 更新,,,,
2020-10-09,,配信,,Rakuten TV,金曜 12:00 更新,,,,
2020-10-09,,配信,,HAPPY!動画,金曜 12:00 更新,,,,
2020-10-09,,配信,,TSUTAYA TV,金曜 19:00 更新,,,,
2020-10-09,,配信,,ニコニコ生放送,金曜 22:30 - 23:00,,,,
