開始,終了,タイプ,放送局,配信サイト,時間,期間
2020-10-12,2020-12-28,放送,AT-X,,月曜 21:30 - 22:00,2020年10月12日 - 12月28日
2020-10-12,2020-12-28,放送,TOKYO MX,,月曜 22:30 - 23:00,2020年10月12日 - 12月28日
2020-10-12,2020-12-28,放送,サンテレビ,,月曜 23:30 - 火曜 0:00,2020年10月12日 - 12月28日
2020-10-14,2020-12-30,放送,KBS京都,,水曜 1:00 - 1:30（火曜深夜）,2020年10月14日 - 12月30日
2020-10-15,2020-12-31,放送,BS日テレ,,木曜 0:00 - 0:30（水曜深夜）,2020年10月15日 - 12月31日
2020-10-12,,配信,,ひかりTV,月曜 22:30 更新,2020年10月12日
2020-10-16,,配信,,dTVチャンネル,金曜 23:00 更新,2020年10月16日
2020-10-19,,配信,,dアニメストア,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,ABEMA,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,niconico,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,GYAO!,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,FOD,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,バンダイチャンネル,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,Hulu,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,J:COMオンデマンド,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,TELASA,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,U-NEXT,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,アニメ放題,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,あにてれ,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,Amazonプライム・ビデオ,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,Rakuten TV,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,DMM.com,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,ビデオマーケット,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,HAPPY!動画,月曜 22:00 更新,2020年10月19日
2020-10-19,,配信,,ムービーフルplus,月曜 22:00 更新,2020年10月19日
