開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2021-01-13,2021-03-31,放送,TOKYO MX1,,水曜 0:30 - 0:45（火曜深夜）,2021年1月13日 - 3月31日,東京都,
2021-01-14,2021-04-01,放送,BS11,,木曜 0:00 - 0:15（水曜深夜）,2021年1月14日 - 4月1日,日本全域,BS放送 / 『ANIME+』枠
2021-01-17,2021-04-02,放送,毎日放送,,日曜 3:38 - 3:53（土曜深夜）,2021年1月17日 - 4月2日,近畿広域圏,『アニメシャワー』第4部前半
2021-01-21,2021-04-08,放送,WOWOW,,木曜 0:30 - 0:45（水曜深夜）,2021年1月21日 - 4月8日,日本全域,製作参加 / BS/CS放送 / 『アニメプライム』枠
2021-01-13,,配信,,dアニメストア,水曜 0:30 更新（火曜深夜）,2021年1月13日,,
2021-01-18,,配信,,ABEMA,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,niconico,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,ひかりTV,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,Netflix,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,GYAO!,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,フジテレビオンデマンド,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,バンダイチャンネル,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,Hulu,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,Amazon Prime Video,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,J:COMオンデマンド,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,ビデオパス,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,TELASA,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,アニメ放題,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,U-NEXT,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,Tver,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,MBS動画イズム,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,Rakuten TV,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,DMM.com,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,ビデオマーケット,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,HAPPY!動画,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,クランクイン！ビデオ,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-18,,配信,,ムービーフルplus,月曜 0:30 更新（日曜深夜）,2021年1月18日,,
2021-01-21,,配信,,WOWOWオンデマンド,木曜 0:30 更新（水曜深夜）,2021年1月21日,,
