開始,終了,タイプ,放送局,配信サイト,時間,期間,シーズン
2018-04-06,2018-06-29,放送,TBSテレビ,,金曜 1:28 - 1:58（木曜深夜）,2018年4月6日 - 6月29日,
2018-04-15,2018-07-01,放送,BS-TBS,,日曜 1:00 - 1:30（土曜深夜）,2018年4月15日 - 7月1日,
2018-04-16,2018-07-09,放送,TBSチャンネル1,,月曜 1:00 - 1:30（日曜深夜）,2018年4月16日 - 7月9日,
2018-04-18,2018-07-11,放送,北陸放送,,水曜 1:30 - 2:00（火曜深夜）,2018年4月18日 - 7月11日,
2018-04-20,2018-07-13,放送,あいテレビ,,金曜 1:36 - 2:06（木曜深夜）,2018年4月20日 - 7月13日,
2021-04-04,2021-06-27,放送,TOKYO MX,,日曜 23:00 - 23:30,2021年4月4日 - 6月27日,
2021-04-07,2021-06-30,放送,BS11,,水曜 0:30 - 1:00（火曜深夜）,2021年4月7日 - 6月30日,
2018-04-06,,配信,,Amazonプライム・ビデオ,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,GYAO!ストア,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,Google Play,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,J:COMオンデマンド,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,TSUTAYA TV,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,DMM.com,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,ニコニコ動画,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,HAPPY!動画,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,バンダイチャンネル,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,ひかりTV,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,ビデオパス,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,ビデオマーケット,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,PlayStation Video,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,ムービーフル,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,Rakuten TV,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,dアニメストア,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,dTV,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,Netflix,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,Hulu,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
2018-04-06,,配信,,U-NEXT,水曜 0:30 - 1:00（火曜深夜）,2018年4月6日以降順次[4],第1期
