開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2015-10-04,2016-03-27,放送,毎日放送（製作局）ほか・TBS系列全28局,,日曜 17:00 - 17:30,2015年10月4日 - 2016年3月27日,字幕放送 / 連動データ放送
2016-01-03,2016-06-19,放送,BS11,,日曜 19:30 - 20:00,2016年1月3日 - 6月19日,BS放送 / 『アニメ+』枠
2016-02-04,2016-07-27,放送,アニマックス,,木曜 19:00 - 19:30,2016年2月4日 - 7月27日,BS/CS放送 / 字幕放送 / リピート放送あり
2015-10-04,,配信,,ガンダムファンクラブ,日曜 17:30 更新,2015年10月4日,[422]
2015-10-04,,配信,,MBS番組サイト,日曜 17:30 更新,2015年10月4日,
2015-10-11,,配信,,バンダイチャンネル / dアニメストア,日曜 17:30 更新,2015年10月11日,
2016-10-02,2017-04-02,放送,毎日放送（製作局）ほか・TBS系列全28局,,日曜 17:00 - 17:30,2016年10月2日 -  2017年4月2日,字幕放送 / 連動データ放送
2016-12-25,2017-06-11,放送,BS11,,日曜 19:30 - 20:00,2016年12月25日 - 2017年6月11日,BS放送 / 『アニメ+』枠
2017-02-26,2017-08-20,放送,アニマックス,,日曜 18:30 - 19:00,2017年2月26日 - 8月20日,BS/CS放送 / 字幕放送 / リピート放送あり[424]
2016-10-02,,配信,,ガンダムファンクラブ,日曜 17:30 更新,2016年10月2日,
2016-10-02,,配信,,MBS動画イズム,日曜 17:30 更新,2016年10月2日,
2016-10-09,,配信,,バンダイチャンネル / dアニメストアアニメイトチャンネル / プレミアムGYAO!,日曜 12:00 更新,2016年10月9日,見放題サービス会員は全話見放題
2022-04-05,,放送,MBS,,,,
2022-04-05,,放送,TOKYO MX,,,,
2022-04-29,,放送,BS11,,,,
