開始,終了,タイプ,放送局,配信サイト,時間,NHK
2012-06-04,,放送,NHK BSプレミアム,,月曜 19:00 - 19:25月曜 18:30 - 18:55,
2013-03-04,,放送,NHK BSプレミアム,,月曜 18:30 - 18:55土曜 23:45 - 日曜 0:10,
2013-06-08,,放送,NHK BSプレミアム,,土曜 23:45 - 日曜 0:10日曜 0:00 - 0:25（土曜深夜）,
2022-04-06,,放送,NHK総合,,月曜 0:15 - 0:40（日曜深夜）月曜 0:10 - 0:35（日曜深夜）月曜 0:05 - 0:30（日曜深夜）,
2022-04-10,2022-10-02,放送,NHK総合,,日曜 0:00 - 0:25（土曜深夜）,
2022-04-10,,配信,,dTV,日曜 12:00 更新,
2022-04-10,,配信,,アニメタイムズ（Amazon Prime Video チャンネル）,日曜 12:00 更新,
2022-04-13,,配信,,Amazon Prime Video,水曜 12:00 更新,
2022-04-13,,配信,,U-NEXT,水曜 12:00 更新,
2022-04-13,,配信,,アニメ放題,水曜 12:00 更新,
2022-04-15,,配信,,アニメカ,金曜 0:00 更新,
2022-04-15,,配信,,dアニメストア,金曜 0:00 更新,
2022-04-15,,配信,,ABEMA,金曜 0:00 更新,
2022-04-15,,配信,,Netflix,金曜 0:00 更新,
2022-04-15,,配信,,FOD,金曜 0:00 更新,
2022-04-15,,配信,,バンダイチャンネル,金曜 0:00 更新,
2022-04-15,,配信,,Hulu,金曜 0:00 更新,
2022-04-15,,配信,,TELASA,金曜 0:00 更新,
2022-04-15,,配信,,J：COMオンデマンド,金曜 0:00 更新,
2022-04-15,,配信,,auスマートパスプレミアム,金曜 0:00 更新,
2022-04-20,,配信,,Disney+,水曜 16:00 更新,
2022-04-13,,配信,,Amazonビデオ,水曜 12:00 更新,
2022-04-13,,配信,,RakutenTV,水曜 12:00 更新,
2022-04-15,,配信,,ひかりTV,金曜 0:00 更新,
2022-04-15,,配信,,HAPPY動画,金曜 0:00 更新,
2022-04-15,,配信,,ムービーフルPlus,金曜 0:00 更新,
2022-04-15,,配信,,GYAO,金曜 0:00 更新,
