開始,終了,タイプ,放送局,配信サイト,時間
2022-10-09,2023-03-26,放送,テレビ朝日（製作参加）ほか系列全24局,,日曜 1:30 - 2:00（土曜深夜）
2022-10-09,2023-03-26,放送,BS朝日,,日曜 2:00 - 2:30（土曜深夜）
2022-10-09,2023-03-26,放送,AT-X,,日曜 21:00 - 21:30
2022-10-09,,配信,,アニメ放題,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,ABEMAビデオ（ABEMAプレミアム）,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,Amazon Prime Video,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,dアニメストア,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,Disney+,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,Netflix,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,バンダイチャンネル,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,Hulu,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,U-NEXT,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,GYAO!ストア,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,ニコニコチャンネル,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,HAPPY!動画,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,ビデオマーケット,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,music.jp,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,ムービーフルplus,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,Rakuten TV,日曜 2:00（土曜深夜） 更新
2022-10-09,,配信,,ABEMA,日曜 20:00 - 20:30
2022-10-11,,配信,,auスマートパスプレミアム,火曜 12:00 更新
2022-10-11,,配信,,J:COMオンデマンドメガパック,火曜 12:00 更新
2022-10-11,,配信,,TELASA,火曜 12:00 更新
2022-10-11,,配信,,ひかりTV,火曜 12:00 更新
2022-10-11,,配信,,milplus見放題パックプライム,火曜 12:00 更新
2022-10-14,,配信,,GYAO!,金曜 20:00 更新
