開始,終了,タイプ,放送局,配信サイト,時間,対象地域,備考
2021-10-15,2022-03-25,放送,フジテレビ,,金曜 0:55 - 1:25（木曜深夜）,,
2023-04-14,2023-06-16,放送,フジテレビ,,金曜 0:55 - 1:25（木曜深夜）,関東広域圏,製作参加
2023-04-14,2023-06-16,放送,岩手めんこいテレビ,,金曜 0:55 - 1:25（木曜深夜）,岩手県,
2023-04-14,2023-06-16,放送,さくらんぼテレビ,,金曜 0:55 - 1:25（木曜深夜）,山形県,
2023-04-14,2023-06-16,放送,福島テレビ,,金曜 0:55 - 1:25（木曜深夜）,福島県,
2023-04-14,2023-06-16,放送,サガテレビ,,金曜 0:55 - 1:25（木曜深夜）,佐賀県,
2023-04-14,2023-06-16,放送,テレビ愛媛,,金曜 1:05 - 1:35（木曜深夜）,愛媛県,
2023-04-14,2023-06-16,放送,北海道文化放送,,金曜 1:20 - 1:50（木曜深夜）,北海道,
2023-04-14,2023-06-16,放送,秋田テレビ,,金曜 1:20 - 1:50（木曜深夜）,秋田県,
2023-04-14,2023-06-16,放送,仙台放送,,金曜 1:30 - 2:00（木曜深夜）,宮城県,
2023-04-14,2023-06-16,放送,長野放送,,金曜 1:30 - 2:00（木曜深夜）,長野県,
2023-04-14,2023-06-16,放送,テレビ静岡,,金曜 1:30 - 2:00（木曜深夜）,静岡県,
2023-04-14,2023-06-16,放送,鹿児島テレビ,,金曜 1:30 - 2:00（木曜深夜）,鹿児島県,
2023-04-14,2023-06-16,放送,テレビ熊本,,金曜 1:45 - 2:15（木曜深夜）,熊本県,
2023-04-14,2023-06-16,放送,NST新潟総合テレビ,,金曜 1:50 - 2:20（木曜深夜）,新潟県,
2023-04-14,2023-06-16,放送,関西テレビ,,金曜 1:55 - 2:25（木曜深夜）,近畿広域圏,
2023-04-14,2023-06-16,放送,テレビ西日本,,金曜 1:55 - 2:25（木曜深夜）,福岡県,
2023-04-14,2023-06-16,放送,テレビ新広島,,金曜 2:00 - 2:30（木曜深夜）,広島県,
2023-04-14,2023-06-16,放送,東海テレビ,,金曜 2:04 - 2:34（木曜深夜）,中京広域圏,
2023-04-28,2023-06-30,放送,高知さんさんテレビ,,金曜 0:55 - 1:25（木曜深夜）,高知県,
2023-05-06,2023-07-08,放送,アニマックス,,土曜 21:30 - 22:00,日本全域,BS/CS放送
2023-05-30,2023-08-15,放送,さんいん中央テレビ,,火曜 1:25 - 1:55（月曜深夜）,島根県・鳥取県,
2023-04-14,,配信,,Amazon Prime Video,金曜 1:55（木曜深夜） 更新,,
2023-04-14,,配信,,FOD,金曜 12:00 更新,,別途課金
2023-04-14,,配信,,dアニメストア,金曜 12:00 更新,,別途課金
2023-04-14,,配信,,U-NEXT,金曜 12:00 更新,,別途課金
2023-04-14,,配信,,ニコニコチャンネル,金曜 12:00 更新,,別途課金
2023-04-14,,配信,,バンダイチャンネル,金曜 12:00 更新,,別途課金
2023-04-14,,配信,,ビデオマーケット,金曜 12:00 更新,,別途課金
2023-04-14,,配信,,DMM TV,金曜 12:00 更新,,別途課金
2023-04-14,,配信,,music.jp,金曜 12:00 更新,,別途課金
2023-04-17,,配信,,J:COMオンデマンド,月曜 0:00（日曜深夜） 更新,,別途課金
2023-04-17,,配信,,milplus,月曜 0:00（日曜深夜） 更新,,別途課金
