放送対象地域,放送局,放送系列,時間,備考,タイプ,配信サイト
関東広域圏,フジテレビ,フジテレビ系列,日曜 18:00 - 18:30,制作局,放送,
北海道,札幌テレビ,日本テレビ系列フジテレビ系列,日曜 8:30 - 9:00[16],,放送,
青森県,青森放送,日本テレビ系列,日曜 8:30 - 9:00[16],,放送,
岩手県,岩手放送,TBS系列,月曜 17:00 - 17:30[17],現・IBC岩手放送,放送,
秋田県,秋田テレビ,フジテレビ系列,日曜 18:00 - 18:30,,放送,
福島県,福島中央テレビ,日本テレビ系列NETテレビ系列,月曜 - 金曜 16:30 - 17:00（1975年9月）月曜 - 木曜 16:00 - 16:30（1975年9月29日から）,1975年に放送[20],放送,
新潟県,新潟総合テレビ,フジテレビ系列日本テレビ系列NETテレビ系列,月曜 - 金曜 16:30 - 17:00（1975年9月）月曜 - 木曜 16:00 - 16:30（1975年9月29日から）,現・NST新潟総合テレビ,放送,
長野県,長野放送,フジテレビ系列,日曜 18:00 - 18:30,,放送,
山梨県,山梨放送,日本テレビ系列,日曜 18:00 - 18:30,,放送,
静岡県,テレビ静岡,フジテレビ系列,日曜 18:00 - 18:30,,放送,
岡山県,テレビ岡山,フジテレビ系列NETテレビ系列,日曜 18:00 - 18:30,,放送,
広島県,広島テレビ,フジテレビ系列日本テレビ系列,金曜 18:00 - 18:30,,放送,
山口県,山口放送,日本テレビ系列,金曜 18:00 - 18:30,,放送,
愛媛県,テレビ愛媛,フジテレビ系列,日曜 18:00 - 18:30,1969年12月開局から,放送,
高知県,高知放送,日本テレビ系列,日曜 18:00 - 18:30,,放送,
福岡県,テレビ西日本,フジテレビ系列,日曜 18:00 - 18:30,,放送,
長崎県,テレビ長崎,フジテレビ系列日本テレビ系列,日曜 18:00 - 18:30,,放送,
熊本県,テレビ熊本,フジテレビ系列日本テレビ系列NETテレビ系列,日曜 18:00 - 18:30,,放送,
大分県,大分放送,TBS系列,日曜 18:00 - 18:30,,放送,
宮崎県,テレビ宮崎,フジテレビ系列日本テレビ系列NETテレビ系列,金曜 18:00 - 18:30[22],1970年4月開局から,放送,
琉球政府,沖縄テレビ,フジテレビ系列,金曜 18:00 - 18:30[22],放送当時はアメリカ合衆国の統治下だった。,放送,
