期間,時間,放送局,対象地域,備考,タイプ,フジテレビ,表話編歴+Ultra(カテゴリ),表話編歴BSフジ『アニメギルド』自社製作新作作品,0:00,放送作品,レギュラーネット局・配信サイト,関係の深い製作会社,関連項目,開始,終了,配信サイト
2020年7月9日 - 12月17日,木曜 0:55 - 1:25（水曜深夜）,,関東広域圏,製作参加 / 『+Ultra』枠,放送,,,,,,,,,2020-07-09,2020-12-17,
2020年7月9日 - 12月17日,木曜 1:55 - 2:25（水曜深夜）,,福岡県,,放送,,,,,,,,,2020-07-09,2020-12-17,
2020年7月10日 - 12月18日,金曜 1:55 - 2:25（木曜深夜）,,近畿広域圏,,放送,,,,,,,,,2020-07-10,2020-12-18,
2020年7月12日 - 12月20日,日曜 1:45 - 2:15（土曜深夜）,,中京広域圏,,放送,,,,,,,,,2020-07-12,2020-12-20,
2020年7月13日 - 12月21日,月曜 1:10 - 1:40（日曜深夜）,,北海道,,放送,,,,,,,,,2020-07-13,2020-12-21,
2020年7月16日 - 12月24日,木曜 0:00 - 0:30（水曜深夜）,,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,,,,,,,,,2020-07-16,2020-12-24,
2020年7月16日 - 12月24日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,"CX
製作参加
UHB
THK
KTV
TNC
BSフジ
製作参加
Netflix
FOD",,,,,,,2020-07-16,2020-12-24,
2020年7月16日 - 12月24日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,"博報堂DYメディアパートナーズ
電通
Crunchyroll
スロウカーブ",,,,,,,2020-07-16,2020-12-24,
2020年7月16日 - 12月24日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,"フジテレビの深夜アニメ枠
NOISE
ノイタミナ
アニメギルド",,,,,,,2020-07-16,2020-12-24,
2020年7月16日 - 12月24日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,,19冬：明治東亰恋伽,,,,,,2020-07-16,2020-12-24,
2020年7月16日 - 12月24日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,,18夏：働くお兄さん！の2！,,,,,,2020-07-16,2020-12-24,
2020年7月16日 - 12月24日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,,"17春：覆面系ノイズ
17夏：18if
18夏：邪神ちゃんドロップキック
19冬：モブサイコ100II
19夏：魔王様、リトライ！
20春：啄木鳥探偵處",,,,,,2020-07-16,2020-12-24,
2020年7月16日 - 12月24日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,,"19夏：胡蝶綺 〜若き信長〜
20春：アルテ",,,,,,2020-07-16,2020-12-24,
2020年7月16日 - 12月24日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,,"18冬：働くお兄さん！
18春：信長の忍び〜姉川・石山篇〜",,,,,,2020-07-16,2020-12-24,
