期間,時間,放送局,対象地域,備考,タイプ,フジテレビ,表話編歴系深夜枠・JOCX-TV2,表話編歴+Ultra(カテゴリ),開始,終了,配信サイト
2021年7月15日 - 9月30日,木曜 0:55 - 1:25（水曜深夜）,,関東広域圏,製作参加 / 『+Ultra』枠,放送,,,,2021-07-15,2021-09-30,
2021年7月15日 - 9月30日,木曜 1:55 - 2:25（水曜深夜）,,福岡県,,放送,,,,2021-07-15,2021-09-30,
2021年7月16日 - 10月1日,金曜 1:55 - 2:25（木曜深夜）,,近畿広域圏,,放送,,,,2021-07-16,2021-10-01,
2021年7月18日 - 10月3日,日曜 1:45 - 2:15（土曜深夜）,,中京広域圏,,放送,,,,2021-07-18,2021-10-03,
2021年7月19日 - 10月4日,月曜 1:10 - 1:40（日曜深夜）,,北海道,,放送,,,,2021-07-19,2021-10-04,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,日本全域,製作参加 / BS放送 / 『アニメギルド』枠,放送,,,,2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,マーケティング天国 - 奇妙な出来事 - カノッサの屈辱 - 19XX - TVブックメーカー - 全日本ガイジン選手権 - たまにはキンゴロー - 夜鳴き弁天 - La cuisine - たほいや - 寺内ヘンドリックス - 音効さん - ハートにS - ジンガイ記者くらぶ - 東京SEX - ガールズplus1 - かしこ,,2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,サンダーバード - やっぱり猫が好き（第1シーズン） - 眠くなるテレビ  - THE・TV2 - IQエンジン - TV2・55 - でたらめ天使 - 子供、ほしいね（後に木曜に移動） - Dance!×3 - 地理B - Dance!×3 House Energy - カルトQ（後に月曜に移動） - 宇宙発明会議C.I.C. - MAESTRO - 文學ト云フ事 - 湘南リバプール学院 - TVノンフィクション,,2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,ものまねくらぶ - ものまね珍坊 - TV PLUS PRESS - アインシュタイン - 音楽のように - アジア台風ショー - アメリカの夜 - 皆殺しの數學 - the American Guitars - 1or8 - アルファベット2/3 - 落語のピン - WOOD - 私の葬送行進曲 - 音楽の正体 - SWITCH - NONFIX - Trap-TV - シチリアの龍舌蘭 - よい国 - TK MUSIC CLAMP - 巡査 今泉慎太郎,,2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,夢で逢えたら - 東京ストーリーズ - F1ポールポジション（後に日曜に移動） - 欽ちゃん走るッ! - バナナチップス・ラヴ - 欧州旅籠通信簿 - 悪いこと - NIGHT HEAD - 90日間トテナム・パブ - 5年後 - スーパーヅガン - ピロピロ - とぶくすり - ミッドナイトアートシアター - アジアNビート - 天使のU・B・U・G,,2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,読切美人 - レモンエンジェル - ヒットスタジオINT'L - ヒットスタジオR&N - ヒットスタジオコンプレックス - 薔薇薔薇 - 音楽旅行 - 北野ファンクラブ - 秘密の花園 - 新しい波 - とぶくすり友の会,,2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,オールナイトフジ - ヤマタノオロチ - ROCK SHOW（後に金曜に移動） - ヤマタノオロチ2 - そっとテロリスト - JOCX-PARK ドキドキしちゃう - ASOCO - 殿様のフェロモン - オールナイトフジ・リターンズ - レボリューションNo.8 - BEAT UK,,2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,インタビューズ - ゲームセンターの帝王 - 完全走破!日本縦断2002キロ高速道路の旅 - テレビ水族館 - 不思議なクリスマスイヴ サンタが街にやって来た - 荒俣宏のてれび博物館 - ALL THAT 富士山 - 笑いの殿堂 - 春の楽しい電車 発見!新風景 - 空からMAPシリーズ - 完全走破!上野〜札幌寝台特急北斗星の旅 - 快感!東京裏ワザ早道ルート - 世界で一番くだらない番組 - 上品ドライバー - 出たMONO勝負,,2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,AM3:00の恐怖（毎週火曜日から木曜日） - ロ（月曜と金曜のミニ番組） - とぶくすりZ（月曜から木曜） - UN FACTORY カボスケ（月曜から金曜） - UN FACTORY ソムリエ（月曜から金曜） - SMAPのがんばりましょう（月曜から金曜） - 冒冒グラフ（月曜から金曜） - 猛烈アジア太郎（月曜から金曜） - TV2教育（水曜→金曜→月曜） - Mr.ワトソン（月曜から金曜）,,2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,JOCX-TV2（1987年10月-1989年9月） - JOCX-TV+/およびJOCX-TV PLUS（1989年10月-1991年9月） - JOCX-MIDNIGHT TV+およびGARDEN TV+（アナウンスは「MIDNIGHT TV+」）（1991年10月-1992年9月） - JUNGLE（1992年10月-1993年9月） - JOCX-MIDNIGHT（1993年10月-1996年3月）,,2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,フジテレビジョン - ストレイシープ - さんまのまんま - 録画チャンネル4.5 - バラパラ - メディア工房 - 登龍門 - DO!深夜 - サンパラ,,2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,,"CX
製作参加
UHB
THK
KTV
TNC
BSフジ
製作参加
Netflix
FOD",2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,,"博報堂DYメディアパートナーズ
電通
Crunchyroll
スロウカーブ",2021-07-22,2021-10-07,
2021年7月22日 - 10月7日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,,"フジテレビの深夜アニメ枠
NOISE
ノイタミナ
アニメギルド",2021-07-22,2021-10-07,
