期間,時間,放送局,対象地域,備考,タイプ,フジテレビ,表話編歴デジタルモンスター,表話編歴東映アニメーション,関連項目,企業,表話編歴東映,開始,終了,配信サイト
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,関東広域圏,制作局,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,北海道,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,岩手県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,宮城県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,山形県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,新潟県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,長野県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,静岡県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,石川県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,中京広域圏,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,近畿広域圏,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,島根県・鳥取県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,岡山県・香川県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,広島県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,愛媛県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,高知県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,福岡県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,佐賀県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月3日 - 2023年3月26日,日曜 9:00 - 9:30,,鹿児島県,,放送,,,,,,,2021-10-03,2023-03-26,
2021年10月9日 - 2023年4月1日,土曜 5:30 - 6:00,,熊本県,,放送,,,,,,,2021-10-09,2023-04-01,
2021年10月10日 - 2023年4月2日,日曜 5:00 - 5:30,,福井県,,放送,,,,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 5:30 - 6:00,,宮崎県,,放送,,,,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:15 - 6:43,,富山県,,放送,,,,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,秋田県,,放送,,,,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,長崎県,,放送,,,,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"アドベンチャー
キャラ
02
キャラ
テイマーズ
フロンティア
セイバーズ
キャラ
クロスウォーズ
キャラ・世界
アプモン
アドベンチャー:
ゴーストゲーム",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"アドベンチャー第1作
アドベンチャー第2作
02第1作 - 02第2作
テイマーズ第1作 - テイマーズ第2作
フロンティア
セイバーズ
tri.
LAST EVOLUTION 絆
THE BEGINNING",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"アドベンチャー3D
セイバーズ3D",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,ゼヴォリューション,,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,20周年メモリアルストーリー,,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"ペンデュラム
プログレス
エックス
アクセル",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"Ver.S
WS版（育成）
デジモンワールド
2
3
X
カードバトル
アリーナ
ポケット
リ:デジタイズ
next 0rder
サヴァイブ",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"デジヴァイス
D-3
ディーアーク
ディースキャナ
デジヴァイスic
クロスローダー
アプリドライヴ",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"WS版（秋山遼）
バトルスピリット
バトルエボリューション
バトルクロニクル
アナザーミッション
ストーリー
サンバースト&ムーンライト
ロストエボリューション
超クロスウォーズ
サイバースルゥース
アプモン",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"カードゲーム
バトルターミナル
超デジカ大戦
S.H.Figuarts
超進化シリーズ
Dreal",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"Vテイマー01
クロニクル
ネクスト
クロスウォーズ
リ:デジタイズ
サイバースルゥース
アプモン
ドリーマーズ",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"アドベンチャー
1984
LAST EVOLUTION 絆
クロニクルエックス
シーカーズ",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"tri.
アドベンチャー",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"Butter-Fly
ターゲット〜赤い衝撃〜
The Biggest Dreamer
FIRE!!
強ing! Going! My soul!!
ヒラリ
DiVE!!",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"I wish
Keep On!
アシタハアタシノカゼガフク
いつも いつでも
My Tomorrow
Days -愛情と日常-
イノセント〜無邪気なままで〜
an Endless tale
One Star
流星
青い炎シンドローム",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"brave heart
Break up!
Beat Hit
SLASH!!
EVO
One Vision
トモダチの海
With The Will
The last Element
Believer
WE ARE クロスハート!
空舞う勇者×5
Evolution & Digixros
タギルチカラ!",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"作品No.2「春」イ長調〜ぼくらのウォーゲーム!〜
スタンド・バイ・ミー〜ひと夏の冒険〜
フレンド〜いつまでも忘れない〜
Moving on!
夕陽の約束",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"Miracle Maker
アクセンティア",,,,,2021-10-10,2023-04-02,
