期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2021年10月13日 - 12月29日,水曜 1:00 - 1:05（火曜深夜）,,東京都,,放送,2021-10-13,2021-12-29,
2021年10月14日 - 12月30日,木曜 1:00 - 1:05（水曜深夜）,,京都府,,放送,2021-10-14,2021-12-30,
2021年10月14日 - 12月30日,木曜 2:00 - 2:05（水曜深夜）,,兵庫県,,放送,2021-10-14,2021-12-30,
2021年10月14日 - 12月30日,木曜 22:16 - 22:12,,日本全域,CS放送 / リピート放送あり,放送,2021-10-14,2021-12-30,
2021年10月15日 - 12月31日,金曜 2:15 - 2:20（木曜深夜）,,新潟県,,放送,2021-10-15,2021-12-31,
2021年10月17日 - 2022年1月2日,日曜 0:28 - 0:33（土曜深夜）,,日本全域,BS放送 / 『アニメにむちゅ〜』枠,放送,2021-10-17,2022-01-02,
2021年10月17日 - 2022年1月2日,日曜 2:35 - 2:40（土曜深夜）,,石川県,,放送,2021-10-17,2022-01-02,
2021年10月19日 - 2022年1月11日,火曜 2:55 - 3:00（月曜深夜）,,長野県,,放送,2021-10-19,2022-01-11,
2021年10月20日 - 12月29日,水曜 3:50 - 3:55（火曜深夜）,,北海道,,放送,2021-10-20,2021-12-29,
2022年4月13日 -  6月29日,水曜 1:00 - 1:05（火曜深夜）,,東京都,,放送,2022-04-13,2022-06-29,
2022年4月14日 -  6月30日,木曜 1:00 - 1:05（水曜深夜）,,京都府,,放送,2022-04-14,2022-06-30,
2022年4月14日 -  6月30日,木曜 1:00 - 1:05（水曜深夜）,,兵庫県,,放送,2022-04-14,2022-06-30,
2022年4月14日 -  6月30日,木曜 22:16 - 22:12,,日本全域,CS放送 / リピート放送あり,放送,2022-04-14,2022-06-30,
2022年4月15日 - 7月1日,金曜 2:15 - 2:20（木曜深夜）,,新潟県,,放送,2022-04-15,2022-07-01,
2022年4月15日 - 7月1日,金曜 23:27 - 23:32,,日本全域,BS放送 / 『アニメにむちゅ〜』枠,放送,2022-04-15,2022-07-01,
2022年4月17日 - 7月3日,日曜 2:35 - 2:40（土曜深夜）,,石川県,,放送,2022-04-17,2022-07-03,
2022年4月20日 - 7月6日,水曜 2:50 - 2:55（火曜深夜）,,長野県,,放送,2022-04-20,2022-07-06,
