放送地域,放送局,期間,時間,放送系列,備考,タイプ,フジテレビ,対象地域,開始,終了,配信サイト
関東広域圏,フジテレビ,2012年2月2日 - 3月22日,木曜 24:45 - 25:15,フジテレビ系列,製作委員会参加,放送,,,2012-02-02,2012-03-22,
日本全域,ニコニコチャンネル,2012年2月3日 - 3月23日,金曜 23:30 更新,ネット配信,最新話1週間限定配信有料配信なし,放送,,,2012-02-03,2012-03-23,
近畿広域圏,関西テレビ,2012年2月7日 - 3月27日,火曜 25:58 - 26:28,フジテレビ系列,,放送,,,2012-02-07,2012-03-27,
日本全域,BSフジ,2012年2月18日 - 4月14日,土曜 25:30 - 26:00,BSデジタル放送,,放送,,,2012-02-18,2012-04-14,
北海道,北海道文化放送,2013年2月17日 - 4月7日,日曜 25:45 - 26:15,フジテレビ系列,,放送,,,2013-02-17,2013-04-07,
日本全域,フジテレビTWO,2013年3月2日 - 3月23日,土曜 20:00 - 21:00,CS放送,2話連続放送リピート放送あり,放送,,,2013-03-02,2013-03-23,
,TOKYO MX,2022年4月3日 - 6月19日,日曜 23:00 - 23:30,,,放送,,東京都,2022-04-03,2022-06-19,
,BS11,2022年4月3日 - 6月19日,日曜 23:30 - 月曜 0:00,,製作参加 / BS放送 / 『ANIME+』枠,放送,,日本全域,2022-04-03,2022-06-19,
,KBS京都,2022年4月4日 - 6月20日,月曜 0:00 - 0:30（日曜深夜）,,,放送,,京都府,2022-04-04,2022-06-20,
,サンテレビ,2022年4月4日 - 6月20日,月曜 0:30 - 1:00（日曜深夜）,,,放送,,兵庫県,2022-04-04,2022-06-20,
,テレビ愛知,2022年4月4日 - 6月20日,月曜 2:05 - 2:35（日曜深夜）,,,放送,,愛知県,2022-04-04,2022-06-20,
,アニマックス,2022年4月9日 - 6月25日,土曜 21:30 - 22:00,,BS/CS放送,放送,,日本全域,2022-04-09,2022-06-25,
