期間,時間,放送局,対象地域,備考,タイプ,フジテレビ,開始,終了,配信サイト
2022年7月8日 - 9月30日,金曜 0:55 - 1:25（木曜深夜）,,関東広域圏,製作参加,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 0:55 - 1:25（木曜深夜）,,岩手県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 0:55 - 1:25（木曜深夜）,,山形県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 0:55 - 1:25（木曜深夜）,,福島県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 0:55 - 1:25（木曜深夜）,,佐賀県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 1:05 - 1:35（木曜深夜）,,愛媛県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 1:20 - 1:50（木曜深夜）,,秋田県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 1:30 - 2:00（木曜深夜）,,長野県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 1:30 - 2:00（木曜深夜）,,静岡県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 1:30 - 2:00（木曜深夜）,,鹿児島県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 1:45 - 2:15（木曜深夜）,,熊本県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 1:50 - 2:20（木曜深夜）,,新潟県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 1:55 - 2:25（木曜深夜）,,宮城県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 1:55 - 2:25（木曜深夜）,,近畿広域圏,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 1:55 - 2:25（木曜深夜）,,福岡県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 2:00 - 2:30（木曜深夜）,,広島県,,放送,,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 2:07 - 2:37（木曜深夜）,,中京広域圏,,放送,,2022-07-08,2022-09-30,
2022年7月13日 - 10月5日,水曜 1:50 - 2:20（火曜深夜）,,北海道,,放送,,2022-07-13,2022-10-05,
2022年7月16日 - 10月8日,土曜 21:00 - 21:30,,日本全域,製作参加 / BS/CS放送,放送,,2022-07-16,2022-10-08,
2022年8月30日 - 11月22日,火曜 1:25 - 1:55（月曜深夜）,,島根県・鳥取県,,放送,,2022-08-30,2022-11-22,
