期間,時間,放送局,対象地域,備考,タイプ,配信サイト,配信日,開始,終了
2017年1月21日 - 4月22日,土曜 22:30 - 23:00,TOKYO MX,東京都,製作参加 / リピート放送あり,放送,,,2017-01-21,2017-04-22
2017年1月21日 - 4月22日,土曜 22:30 - 23:00,KBS京都,京都府,,放送,,,2017-01-21,2017-04-22
2017年1月21日 - 4月22日,土曜 22:30 - 23:00,サンテレビ,兵庫県,リピート放送あり,放送,,,2017-01-21,2017-04-22
2017年1月21日 - 4月22日,土曜 22:30 - 23:00,AT-X,日本全域,CS放送 / リピート放送あり,放送,,,2017-01-21,2017-04-22
2017年1月23日 - 4月24日,月曜 1:05 - 1:35（日曜深夜）,テレビ愛知,愛知県,,放送,,,2017-01-23,2017-04-24
2017年1月24日 - 4月25日,火曜 0:30 - 1:00（月曜深夜）,テレ玉,埼玉県,,放送,,,2017-01-24,2017-04-25
2017年1月24日 - 4月25日,火曜 2:00 - 2:30（月曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠 / リピート放送あり,放送,,,2017-01-24,2017-04-25
2017年1月25日 - 4月26日,水曜 0:30 - 1:00（火曜深夜）,BSフジ,日本全域,BS放送 / 『アニメギルド』枠[注 9] / リピート放送あり,放送,,,2017-01-25,2017-04-26
2017年1月26日 - 4月27日,木曜 1:00 - 1:30（水曜深夜）,tvk,神奈川県,リピート放送あり,放送,,,2017-01-26,2017-04-27
2017年1月28日 - 4月29日,土曜 2:30 - 3:00（金曜深夜）,ミヤギテレビ,宮城県,,放送,,,2017-01-28,2017-04-29
2017年4月4日 - 6月27日,火曜 2:10 - 2:40（月曜深夜）,北陸放送,石川県,,放送,,,2017-04-04,2017-06-27
2017年4月5日 - 6月28日,水曜 2:40 - 3:10（火曜深夜）,テレビせとうち,岡山県・香川県,,放送,,,2017-04-05,2017-06-28
2017年4月7日 - 6月30日,金曜 1:00 - 1:30（木曜深夜）,チバテレビ,千葉県,[注 10],放送,,,2017-04-07,2017-06-30
2017年4月7日 - 6月30日,金曜 2:15 - 2:45（木曜深夜）,新潟総合テレビ,新潟県,,放送,,,2017-04-07,2017-06-30
2017年4月7日 - 6月30日,金曜 23:00 - 23:30,とちぎテレビ,栃木県,,放送,,,2017-04-07,2017-06-30
2017年1月21日 - 4月22日,土曜 22:00 - 22:30,,,,配信,AbemaTV,,2017-01-21,2017-04-22
2017年1月28日 - 4月29日,土曜 23:00 更新,,,,配信,バンダイチャンネル,,2017-01-28,2017-04-29
2017年1月28日 - 4月29日,土曜 23:00 更新,,,,配信,GYAO!ストア,,2017-01-28,2017-04-29
2017年1月28日 - 4月29日,土曜 23:00 更新,,,,配信,楽天ショウタイム,,2017-01-28,2017-04-29
2017年1月28日 - 4月29日,土曜 23:00 更新,,,,配信,ひかりTV,,2017-01-28,2017-04-29
2017年1月28日 - 4月29日,土曜 23:00 更新,,,,配信,HAPPY!動画,,2017-01-28,2017-04-29
2017年1月28日 - 4月29日,土曜 23:00 更新,,,,配信,ビデオマーケット,,2017-01-28,2017-04-29
2017年1月29日 - 4月30日,日曜 12:00 更新,,,都度課金,配信,dアニメストア,,2017-01-29,2017-04-30
2017年1月29日 - 4月30日,日曜 12:00 更新,,,都度課金,配信,U-NEXT,,2017-01-29,2017-04-30
2017年1月29日 - 4月30日,日曜 12:00 更新,,,都度課金,配信,アニメ放題,,2017-01-29,2017-04-30
2017年4月7日 - 4月29日,土曜 22:30 更新,,,第9話以降を配信、最新話は1週間限定で無料配信,配信,Abemaビデオ,,2017-04-07,2017-04-29
2017年8月19日,土曜 22:30 - 23:00,TOKYO MX,東京都,製作参加,放送,,,2017-08-19,
2017年8月19日,土曜 22:30 - 23:00,KBS京都,京都府,,放送,,,2017-08-19,
2017年8月19日,土曜 22:30 - 23:00,サンテレビ,兵庫県,,放送,,,2017-08-19,
2017年8月19日,土曜 23:00 - 23:30,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,2017-08-19,
2017年8月20日,日曜 22:30 - 23:00,AT-X,日本全域,CS放送,放送,,,2017-08-20,
2017年8月20日,月曜 1:05 - 1:35（日曜深夜）,テレビ愛知,愛知県,,放送,,,2017-08-20,
2017年8月20日,土曜 22:00 - 22:30,,,,配信,AbemaTV,2017年8月19日,2017-08-20,
2019年1月3日 - 3月28日,木曜 23:00 - 23:30,TOKYO MX,東京都,製作参加 / リピート放送あり,放送,,,2019-01-03,2019-03-28
2019年1月3日 - 3月28日,木曜 23:30 - 金曜 0:00,KBS京都,京都府,,放送,,,2019-01-03,2019-03-28
2019年1月3日 - 3月28日,木曜 23:30 - 金曜 0:00,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,2019-01-03,2019-03-28
2019年1月3日 - 3月28日,木曜 23:30 - 金曜 0:00,AT-X,日本全域,CS放送 / リピート放送あり,放送,,,2019-01-03,2019-03-28
2019年1月4日 - 3月29日,金曜 0:00 - 0:30（木曜深夜）,サンテレビ,兵庫県,,放送,,,2019-01-04,2019-03-29
2019年1月4日 - 3月29日,金曜 1:00 - 1:30（木曜深夜）,tvk,神奈川県,,放送,,,2019-01-04,2019-03-29
2019年1月4日 - 3月29日,金曜 2:15 - 2:45（木曜深夜）,新潟総合テレビ,新潟県,,放送,,,2019-01-04,2019-03-29
2019年1月5日 - 3月30日,土曜 1:56 - 2:26（金曜深夜）,青森放送,青森県,,放送,,,2019-01-05,2019-03-30
2019年1月8日 - 4月2日,火曜 1:50 - 2:20（月曜深夜）,静岡朝日テレビ,静岡県,,放送,,,2019-01-08,2019-04-02
2019年1月9日 - 4月3日,水曜 1:35 - 2:05（火曜深夜）,テレビ愛知,愛知県,リピート放送あり,放送,,,2019-01-09,2019-04-03
2020年7月6日 -,月曜 0:59 - 1:29（日曜深夜）,瀬戸内海放送,香川県・岡山県,,放送,,,2020-07-06,
2019年1月3日 - 3月28日,木曜 22:30 - 23:00,,,,配信,AbemaTV,,2019-01-03,2019-03-28
2019年1月10日 - 4月4日,木曜 更新,,,,配信,dアニメストア,,2019-01-10,2019-04-04
2019年1月10日 - 4月4日,木曜 更新,,,,配信,バンダイチャンネル,,2019-01-10,2019-04-04
2019年1月10日 - 4月4日,木曜 更新,,,,配信,ビデオマーケット,,2019-01-10,2019-04-04
2019年1月10日 - 4月4日,木曜 更新,,,,配信,DMM.com,,2019-01-10,2019-04-04
2019年1月10日 - 4月4日,木曜 更新,,,,配信,COCORO VIDEO,,2019-01-10,2019-04-04
2019年1月10日 - 4月4日,木曜 更新,,,,配信,music.jp,,2019-01-10,2019-04-04
2019年1月10日 - 4月4日,木曜 更新,,,,配信,楽天TV,,2019-01-10,2019-04-04
2019年1月10日 - 4月4日,木曜 更新,,,,配信,U-NEXT,,2019-01-10,2019-04-04
2019年1月10日 - 4月4日,木曜 更新,,,,配信,アニメ放題,,2019-01-10,2019-04-04
2019年1月10日 - 4月4日,木曜 更新,,,,配信,J:COMオンデマンド,,2019-01-10,2019-04-04
2019年1月10日 - 4月4日,木曜 更新,,,,配信,ビデオパス,,2019-01-10,2019-04-04
2019年1月10日 - 4月4日,木曜 更新,,,,配信,HAPPY!動画,,2019-01-10,2019-04-04
2019年4月 - 不明,不明,,,,配信,Hulu,,,
2019年4月 - 不明,不明,,,,配信,アクトビラ,,,
2019年4月 - 不明,不明,,,,配信,TSUTAYA TV,,,
2019年4月 - 不明,不明,,,,配信,あにてれ,,,
2019年4月 - 不明,不明,,,,配信,ふらっと動画,,,
2019年4月 - 不明,不明,,,,配信,ニコニコチャンネル,,,
2020年1月23日 - 4月23日,木曜 23:00 - 23:30,TOKYO MX,東京都,製作参加 / リピート放送あり,放送,,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 23:30 - 金曜 0:00,KBS京都,京都府,,放送,,,2020-01-23,2020-04-23
2020年1月24日 - 4月24日,金曜 0:00 - 0:30（木曜深夜）,BS日テレ,日本全域,BS放送 / 『アニメにむちゅ〜』枠,放送,,,2020-01-24,2020-04-24
2020年1月24日 - 4月24日,金曜 0:00 - 0:30（木曜深夜）,サンテレビ,兵庫県,,放送,,,2020-01-24,2020-04-24
2020年1月24日 - 4月24日,金曜 2:55 - 3:25（木曜深夜）,大分放送,大分県,,放送,,,2020-01-24,2020-04-24
