期間,時間,放送局,対象地域,備考,タイプ,配信サイト,表話編歴Eテレキッズ,その他,育児,開始,終了
2020年4月2日 - 2022年3月24日,木曜 17:20 - 17:25,NHK Eテレ,日本全域,『ミニアニメ』枠,放送,,,,,2020-04-02,2022-03-24
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,dTV,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,AbemaTV,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,ひかりTV,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,Amazonプライム・ビデオ,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,U-NEXT,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,アニメ放題,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,GYAO!,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,バンダイチャンネル,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,J:COMオンデマンド,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,ビデオパス,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,FOD,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,ビデオマーケット,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,DMM.com,,,,2020-04-04,2022-03-26
2020年4月4日 - 2022年3月26日,土曜 12:00 更新,,,,配信,music.jp,,,,2020-04-04,2022-03-26
2020年4月25日 -,土曜 12:00 更新,,,,配信,dアニメストア,,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,幼稚園・保育所の時間 - ともだちいっぱい - Eテレキッズ,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,みんないっしょに - くまのこバンブ - ちびっこモグ - じんざえもんと5人のともだち - プルルくん - 風の子ケーン - ペペとミミ - 川の子クークー - おーい!はに丸 - やっぱりヤンチャー- なかよくあそぼ - わいわいドンブリ - たっくんのオモチャ箱 - ぼうけん!メカラッパ号 - ざわざわ森のがんこちゃん - 新・ざわざわ森のがんこちゃん,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,わたしのきもち - できた できた できた - で〜きた,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,人形劇 - スピードさるくん - ポロロンえほん - ふたごのこぐま - にんぎょうげき - こどもにんぎょう劇場,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,おじさんおはなししてよ - おはなしのくに,,,2020-04-25,
