期間,時間,放送局,シリーズ,備考,タイプ,配信サイト,NHK,開始,終了
2012年6月4日 - 9月24日2012年10月1日 - 2013年2月25日[1],月曜 19:00 - 19:25月曜 18:30 - 18:55,NHK BSプレミアム,第1シリーズ[1],連動データ放送 / リピート放送あり / 第1話は50分枠で放送,放送,,,2012-06-04,
2013年3月4日 - 3月25日2013年4月6日 - 6月1日,月曜 18:30 - 18:55土曜 23:45 - 日曜 0:10,NHK BSプレミアム,第1シリーズ総集編[21],,放送,,,2013-03-04,
2013年6月8日 - 9月28日2013年10月6日 - 2014年3月2日[2],土曜 23:45 - 日曜 0:10日曜 0:00 - 0:25（土曜深夜）,NHK BSプレミアム,第2シリーズ[2],連動データ放送,放送,,,2013-06-08,
2020年4月6日 - 4月27日2021年5月3日 - 8月23日2021年8月30日 - 10月18日,月曜 0:15 - 0:40（日曜深夜）月曜 0:10 - 0:35（日曜深夜）月曜 0:05 - 0:30（日曜深夜）,NHK総合,第3シリーズ[3][10][22][23],,放送,,,2020-04-06,
2022年4月10日 - 10月2日,日曜 0:00 - 0:25（土曜深夜）,NHK総合,第4シリーズ[24],[注 10],放送,,,2022-04-10,2022-10-02
2020年4月6日,月曜 12:00 更新,,,,配信,dTV,,2020-04-06,
2020年4月6日,月曜 12:00 更新,,,,配信,GYAO!ストア,,2020-04-06,
2020年4月6日,月曜 12:00 更新,,,,配信,Rakuten TV,,2020-04-06,
2020年4月6日,月曜 12:00 更新,,,,配信,ビデオマーケット,,2020-04-06,
2020年4月6日,月曜 12:00 更新,,,,配信,DMM.com,,2020-04-06,
2020年4月6日,月曜 12:00 更新,,,,配信,music.jp,,2020-04-06,
2020年4月11日,土曜 0:00 更新,,,,配信,Amazon Prime Video,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,Netflix,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,Hulu,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,バンダイチャンネル,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,U-NEXT,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,アニメ放題,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,TELASA,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,auスマートパスプレミアム,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,J:COMオンデマンド,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,milplus,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,ひかりTV,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,アクトビラ,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,PlayStation Video,,2020-04-11,
2020年4月11日,土曜 0:00 更新,,,,配信,GYAO!,,2020-04-11,
2020年4月11日,土曜 1:35 - 2:05（金曜深夜）,,,,配信,ABEMA,,2020-04-11,
2020年4月11日,土曜 2:05（金曜深夜） 更新,,,,配信,ABEMAビデオ,,2020-04-11,
2020年4月12日,日曜 19:00 更新,,,,配信,TSUTAYA TV,,2020-04-12,
