期間,時間,放送局,対象地域,タイプ,配信サイト,備考,開始,終了
2017年1月11日 - 3月29日,水曜 22:40 - 22:45,TOKYO MX,東京都,放送,,,2017-01-11,2017-03-29
2017年1月12日 - 3月30日,木曜 0:10 - 0:15（水曜深夜）,サンテレビ,兵庫県,放送,,,2017-01-12,2017-03-30
2017年1月12日,木曜 12:00 更新,,,配信,ニコニコ動画 / GYAO![11],,2017-01-12,
2017年1月14日,土曜 1:00 - 1:05（金曜深夜）,,,配信,AbemaTV 新作TVアニメch,,2017-01-14,
2017年1月19日,木曜 12:00 更新,,,配信,バンダイチャンネル[12],,2017-01-19,
2017年4月12日 - 6月28日,水曜 22:40 - 22:45,TOKYO MX,東京都,放送,,,2017-04-12,2017-06-28
2017年4月13日 - 6月29日,木曜 0:10 - 0:15（水曜深夜）,サンテレビ,兵庫県,放送,,,2017-04-13,2017-06-29
2017年4月14日 - 6月30日,金曜 0:25 - 0:30（木曜深夜）,AT-X,日本全域,放送,,CS放送 / リピート放送あり,2017-04-14,2017-06-30
2017年4月13日,木曜 12:00 更新,,,配信,ニコニコチャンネル,,2017-04-13,
2017年4月13日,木曜 12:00 更新,,,配信,バンダイチャンネル,,2017-04-13,
2017年4月13日,木曜 12:00 更新,,,配信,GYAO!ストア[14],,2017-04-13,
2017年4月15日,土曜 1:25 - 1:30,,,配信,AbemaTV新作アニメch[15],,2017-04-15,
2018年7月3日 -  9月25日,火曜 1:35 - 1:40（月曜深夜）,TOKYO MX,東京都,放送,,,2018-07-03,2018-09-25
2018年7月6日 - 9月28日,金曜 22:55 - 23:00,AT-X,日本全域,放送,,CS放送 / リピート放送あり,2018-07-06,2018-09-28
2018年7月9日 - 10月1日,月曜 22:50 - 22:55,J:COMテレビ,日本全域,放送,,CATV / #0は未放送,2018-07-09,2018-10-01
2020年10月6日 -,火曜 1:05 - 1:10（月曜深夜）,TOKYO MX,東京都,放送,,,2020-10-06,
2020年10月7日 -,水曜 0:28 - 0:34（火曜深夜）,BS日テレ,日本全域,放送,,BS放送 / 『アニメにむちゅ〜』枠,2020-10-07,
