期間,時間,放送局,"備考
[16]",タイプ,配信サイト,開始,終了
2021年1月5日 - 3月23日,火曜 21:00 - 21:30,AT-X,CS放送 / 字幕放送 / リピート放送あり,放送,,2021-01-05,2021-03-23
2021年1月11日 - 3月29日,月曜 1:30 - 2:00（日曜深夜）,BSフジ,BS/BS4K放送 / 『アニメギルド』枠,放送,,2021-01-11,2021-03-29
2020年1月5日,火曜 21:30 更新,,,配信,dアニメストア,2020-01-05,
2020年1月8日,金曜 12:00 更新,,,配信,Amazonプライム・ビデオ,2020-01-08,
2020年1月8日,金曜 12:00 更新,,,配信,auスマートパスプレミアム,2020-01-08,
2020年1月8日,金曜 12:00 更新,,,配信,DMM.com,2020-01-08,
2020年1月8日,金曜 12:00 更新,,,配信,Google Play,2020-01-08,
2020年1月8日,金曜 12:00 更新,,,配信,GYAO!ストア,2020-01-08,
2020年1月8日,金曜 12:00 更新,,,配信,ひかりTV,2020-01-08,
2020年1月8日,金曜 12:00 更新,,,配信,J:COMオンデマンド,2020-01-08,
2020年1月8日,金曜 12:00 更新,,,配信,ココロビデオ,2020-01-08,
2020年1月8日,金曜 12:00 更新,,,配信,みるプラス,2020-01-08,
2020年1月8日,金曜 12:00 更新,,,配信,music.jp,2020-01-08,
2020年1月8日,金曜 12:00 更新,,,配信,TELASA,2020-01-08,
2020年1月8日,金曜 12:00 更新,,,配信,U-NEXT,2020-01-08,
2020年1月8日,金曜 12:00 更新,,,配信,ビデオマーケット,2020-01-08,
2020年1月11日,月曜 12:00 更新,,,配信,ABEMA,2020-01-11,
2020年1月15日,金曜 12:00 更新,,,配信,あにてれ,2020-01-15,
2020年1月15日,金曜 12:00 更新,,,配信,バンダイチャンネル,2020-01-15,
2020年1月15日,金曜 12:00 更新,,,配信,GYAO!,2020-01-15,
2020年1月15日,金曜 12:00 更新,,,配信,HAPPY!動画,2020-01-15,
2020年1月15日,金曜 12:00 更新,,,配信,ムービーフル,2020-01-15,
