期間,時間,配信サイト,タイプ,放送局,対象地域,備考,開始,終了
2019年10月12日,土曜 3:10 更新（第1話）土曜 2:55 更新（第2話以降）,dアニメストア,配信,,,,2019-10-12,
2019年10月15日,火曜 2:55 更新,dTV,配信,,,,2019-10-15,
2019年10月15日,火曜 2:55 更新,Netflix,配信,,,,2019-10-15,
2019年10月15日,火曜 2:55 更新,Amazonプライム・ビデオ,配信,,,,2019-10-15,
2019年10月15日,火曜 2:55 更新,ニコニコチャンネル,配信,,,,2019-10-15,
2019年10月15日,火曜 2:55 更新,FOD,配信,,,,2019-10-15,
2019年10月15日,火曜 2:55 更新,TVer,配信,,,,2019-10-15,
2019年10月15日,火曜 2:55 更新,MBS動画イズム,配信,,,,2019-10-15,
2019年10月15日,火曜 2:55 更新,ひかりTV,配信,,,,2019-10-15,
2019年10月15日,火曜 2:55 更新,ビデオマーケット,配信,,,,2019-10-15,
2019年10月15日,火曜 2:55 更新,music.jp,配信,,,,2019-10-15,
2019年10月15日,火曜 2:55 更新,Rakuten TV,配信,,,,2019-10-15,
2019年10月15日,火曜 2:55 更新,クランクイン！ビデオ,配信,,,,2019-10-15,
2019年10月15日,火曜 3:00 更新,GYAO!,配信,,,,2019-10-15,
2019年10月15日,火曜 3:30 更新（第1話）火曜 3:00 更新（第2話以降）,AbemaTV,配信,,,,2019-10-15,
2019年10月15日,火曜 12:00 更新,Hulu,配信,,,,2019-10-15,
2019年10月15日,火曜 12:00 更新,U-NEXT,配信,,,,2019-10-15,
2019年10月15日,火曜 12:00 更新,アニメ放題,配信,,,,2019-10-15,
2019年10月15日,火曜 12:00 更新,バンダイチャンネル,配信,,,,2019-10-15,
2019年10月15日,火曜 12:00 更新,ビデオパス,配信,,,,2019-10-15,
2019年10月15日,火曜 12:00 更新,J:COMオンデマンド,配信,,,,2019-10-15,
2019年10月15日,火曜 12:00 更新,DMM.com,配信,,,,2019-10-15,
2021年1月12日 - 3月30日,火曜 1:10 - 1:40（月曜深夜）,,放送,TOKYO MX,東京都,,2021-01-12,2021-03-30
2021年1月12日 - 3月30日,火曜 2:40 - 3:10（月曜深夜）,,放送,毎日放送,近畿広域圏,,2021-01-12,2021-03-30
2021年1月14日 - 4月1日,木曜 0:00 - 0:30（水曜深夜）,,放送,BS日テレ,日本全域,BS放送 / 『アニメにむちゅ〜』枠,2021-01-14,2021-04-01
2021年1月12日,火曜 1:40（月曜深夜） 更新,dアニメストア,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,dTV,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,Hulu,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,U-NEXT,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,アニメ放題,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,GYAO!ストア,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,Netflix,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,Amazonプライム・ビデオ,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,ニコニコチャンネル,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,FOD,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,ひかりTV,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,ビデオマーケット,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,music.jp,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,Rakuten TV,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,クランクイン！ビデオ,配信,,,,2021-01-12,
2021年1月12日,火曜 1:40（月曜深夜） 更新,あにてれ,配信,,,,2021-01-12,
2021年1月12日,火曜 2:00 - 2:30（月曜深夜）,ABEMA,配信,,,,2021-01-12,
2021年1月12日,火曜 2:00（月曜深夜） 更新,GYAO!,配信,,,,2021-01-12,
2021年1月12日,火曜 2:00（月曜深夜） 更新,バンダイチャンネル,配信,,,,2021-01-12,
2021年1月12日,火曜 3:10（月曜深夜） 更新,TVer,配信,,,,2021-01-12,
2021年1月12日,火曜 3:10（月曜深夜） 更新,MBS動画イズム,配信,,,,2021-01-12,
2021年1月12日,火曜 10:00 更新,DMM.com,配信,,,,2021-01-12,
2021年1月12日,火曜 10:00 更新,HAPPY!動画,配信,,,,2021-01-12,
2021年1月12日,火曜 19:00 更新,TSUTAYA TV,配信,,,,2021-01-12,
2021年1月12日,火曜 22:30 - 23:00,ニコニコ生放送,配信,,,,2021-01-12,
2021年1月14日,木曜 0:00（水曜深夜） 更新,TELASA,配信,,,,2021-01-14,
2021年1月14日,木曜 0:00（水曜深夜） 更新,J:COMオンデマンド,配信,,,,2021-01-14,
2021年1月14日,木曜 0:00（水曜深夜） 更新,milplus,配信,,,,2021-01-14,
2021年1月14日,木曜 0:00（水曜深夜） 更新,auスマートパスプレミアム,配信,,,,2021-01-14,
