期間,時間,放送局,対象地域,備考,タイプ,"対象地域・備考
[52]",配信サイト,開始,終了
2014年10月5日 - 2015年3月29日,日曜 17:00 - 17:30,毎日放送（製作局）をはじめとするTBS系列全28局,日本国内[注 29],字幕放送 / 連動データ放送,放送,,,2014-10-05,2015-03-29
2015年2月12日 - 7月30日,木曜 19:00 - 19:30,アニマックス,日本全域,BS/CS放送 / リピート放送あり[53],放送,,,2015-02-12,2015-07-30
2016年8月28日 - 9月18日,日曜 17:00 - 17:30,毎日放送（製作局）をはじめとするTBS系列全28局,日本国内[注 29],字幕放送 / 連動データ放送,放送,,,2016-08-28,2016-09-18
2017年12月23日,土曜 6:30 - 7:00,毎日放送（製作局）をはじめとするTBS系列全28局,日本国内[注 29],字幕放送 / 『アニメサタデー630』第1部,放送,,,2017-12-23,
2017年12月24日,日曜 10:30 - 11:00,TOKYO MX,東京都,,放送,,,2017-12-24,
2018年1月6日 - 6月30日,土曜 6:30 - 7:00,毎日放送（製作局）をはじめとするTBS系列全28局,日本国内[注 29],連動データ放送 / 『アニメサタデー630』第1部,放送,,,2018-01-06,2018-06-30
2018年2月18日 - 7月29日,日曜 19:30 - 20:00,アニマックス,日本全域,BS/CS放送 / リピート放送あり[54],放送,,,2018-02-18,2018-07-29
2019年10月9日 - 2020年3月25日,水曜 17:55 - 18:25,テレビ東京系列全6局,,,放送,北海道・関東広域圏・愛知県・大阪府・岡山県・香川県・福岡県,,2019-10-09,2020-03-25
2019年10月10日 - 2020年3月26日,木曜 0:59 - 1:29（水曜深夜）,BSテレ東,,,放送,BS/BS4K放送,,2019-10-10,2020-03-26
2020年1月8日 - 6月17日,水曜 23:30 - 木曜 0:00,AT-X,,,放送,CS放送 / リピート放送あり[55],,2020-01-08,2020-06-17
2020年2月22日 - 8月1日,土曜 2:29 - 2:59（金曜深夜）,熊本放送,,,放送,熊本県[56],,2020-02-22,2020-08-01
2020年3月16日 - 3月31日,月曜 - 金曜 21:00 - 22:00,アニマックス,,,放送,BS/CS放送 / 2話連続放送 / リピート放送あり[57],,2020-03-16,2020-03-31
2021年1月13日 - 6月23日,水曜 17:55 - 18:25,テレビ東京系列全6局,,,放送,北海道・関東広域圏・愛知県・大阪府・岡山県・香川県・福岡県,,2021-01-13,2021-06-23
2021年1月14日 - 6月24日,木曜 0:30 - 1:00（水曜深夜）,BSテレ東,,,放送,BS/BS4K放送,,2021-01-14,2021-06-24
2021年1月17日 - 6月27日,日曜 23:30 - 月曜 0:00,AT-X,,,放送,CS放送 / リピート放送あり,,2021-01-17,2021-06-27
2021年2月15日 - 8月2日,月曜 19:00 - 19:30,アニマックス,,,放送,BS/CS放送 / リピート放送あり,,2021-02-15,2021-08-02
2014年10月12日,日曜 0:00（土曜深夜） 更新,,,,配信,,GYAO!,2014-10-12,
2014年10月12日,日曜 0:00 - 0:30（土曜深夜）,,,,配信,,ニコニコ生放送,2014-10-12,
2014年10月12日,日曜 0:30（土曜深夜） 更新,,,,配信,,ニコニコチャンネル,2014-10-12,
2014年10月13日,月曜 12:00 更新,,,,配信,,バンダイチャンネル,2014-10-13,
2016年8月28日,日曜 17:30 更新,,,,配信,,TVer,2016-08-28,
2016年8月28日,日曜 17:30 更新,,,,配信,,GYAO!,2016-08-28,
2016年8月28日,日曜 17:30 更新,,,,配信,,ニコニコチャンネル,2016-08-28,
2016年8月28日,日曜 17:30 更新,,,,配信,,バンダイチャンネル,2016-08-28,
2016年8月28日,日曜 17:30 更新,,,,配信,,ビデオマーケット,2016-08-28,
2016年8月28日,日曜 21:00 - 21:30,,,,配信,,ニコニコ生放送,2016-08-28,
2016年8月29日,月曜 12:00 更新,,,,配信,,dTV,2016-08-29,
2016年8月29日,月曜 12:00 更新,,,,配信,,dアニメストア,2016-08-29,
2016年8月29日,月曜 12:00 更新,,,,配信,,U-NEXT,2016-08-29,
2016年8月29日,月曜 12:00 更新,,,,配信,,アニメ放題,2016-08-29,
2016年8月29日,月曜 12:00 更新,,,,配信,,ゲオチャンネル,2016-08-29,
2016年8月30日,火曜 0:00（月曜深夜） 更新,,,,配信,,PlayStation Video,2016-08-30,
2016年9月2日,金曜 0:00（木曜深夜） 更新,,,,配信,,Netflix,2016-09-02,
2018年1月6日,土曜 7:00 更新,,,,配信,,TVer,2018-01-06,
2018年1月6日,土曜 7:00 更新,,,,配信,,MBS動画イズム,2018-01-06,
2018年1月13日,土曜 12:00 - 12:30,,,,配信,,ニコニコ生放送,2018-01-13,
2018年1月13日,土曜 12:00 更新,,,,配信,,GYAO!,2018-01-13,
2018年1月13日,土曜 12:00 更新,,,,配信,,dアニメストア,2018-01-13,
2018年1月13日,土曜 12:00 更新,,,,配信,,dTV,2018-01-13,
2018年1月13日,土曜 12:00 更新,,,,配信,,Netflix,2018-01-13,
2018年1月13日,土曜 12:00 更新,,,,配信,,バンダイチャンネル,2018-01-13,
2018年1月13日,土曜 12:00 更新,,,,配信,,Amazonビデオ,2018-01-13,
2018年1月13日,土曜 12:00 更新,,,,配信,,U-NEXT,2018-01-13,
2018年1月13日,土曜 12:00 更新,,,,配信,,ひかりTV,2018-01-13,
2018年1月13日,土曜 12:00 更新,,,,配信,,アニメ放題,2018-01-13,
2018年1月13日,土曜 12:00 更新,,,,配信,,ビデオマーケット,2018-01-13,
2018年1月13日,土曜 23:00 更新,,,,配信,,ニコニコチャンネル,2018-01-13,
2018年4月14日,土曜 更新,,,,配信,,Paravi,2018-04-14,
2019年10月9日,水曜 22:00 更新,,,,配信,,dTV,2019-10-09,
2019年10月9日,水曜 22:00 更新,,,,配信,,dアニメストア,2019-10-09,
2019年10月9日,水曜 22:00 更新,,,,配信,,TSUTAYA TV,2019-10-09,
2019年10月9日,水曜 22:00 更新,,,,配信,,Rakuten TV,2019-10-09,
2019年10月9日,水曜 22:00 更新,,,,配信,,HAPPY!動画,2019-10-09,
2019年10月9日,水曜 22:00 更新,,,,配信,,ムービーフルplus,2019-10-09,
2019年10月9日,水曜 22:00 更新,,,,配信,,ニコニコチャンネル,2019-10-09,
2019年10月14日,月曜 22:00 更新,,,,配信,,あにてれ,2019-10-14,
2019年10月14日,月曜 22:00 更新,,,,配信,,Paravi,2019-10-14,
2019年10月14日,月曜 22:00 更新,,,,配信,,Netflix,2019-10-14,
2019年10月14日,月曜 22:00 更新,,,,配信,,バンダイチャンネル,2019-10-14,
2019年10月14日,月曜 22:00 更新,,,,配信,,Hulu,2019-10-14,
2019年10月14日,月曜 22:00 更新,,,,配信,,ビデオパス,2019-10-14,
2019年10月14日,月曜 22:00 更新,,,,配信,,J:COMオンデマンド メガパック,2019-10-14,
2019年10月14日,月曜 22:00 更新,,,,配信,,ひかりTV,2019-10-14,
2019年10月14日,月曜 22:00 更新,,,,配信,,GYAO!,2019-10-14,
2019年10月14日,月曜 22:00 更新,,,,配信,,AbemaTV,2019-10-14,
2019年10月14日,月曜 22:00 更新,,,,配信,,U-NEXT,2019-10-14,
2019年10月14日,月曜 23:30 - 火曜 0:00,,,,配信,,ニコニコ生放送[59],2019-10-14,
2021年1月13日,水曜 18:35 更新,,,,配信,,Netflix,2021-01-13,
2021年1月13日,水曜 18:35 更新,,,,配信,,Rakuten TV,2021-01-13,
2021年1月13日,水曜 18:35 更新,,,,配信,,ニコニコチャンネル,2021-01-13,
2021年1月13日,水曜 18:35 更新,,,,配信,,クランクイン！ビデオ,2021-01-13,
2021年1月13日,水曜 18:35 更新,,,,配信,,HAPPY!動画,2021-01-13,
2021年1月13日,水曜 18:35 更新,,,,配信,,ムービーフルplus,2021-01-13,
2021年1月20日,水曜 18:35 更新,,,,配信,,dTV,2021-01-20,
2021年1月20日,水曜 19:00 更新,,,,配信,,バンダイチャンネル,2021-01-20,
2021年1月23日,土曜 18:35 更新,,,,配信,,あにてれ,2021-01-23,
2021年1月23日,土曜 18:35 更新,,,,配信,,Paravi,2021-01-23,
2021年1月23日,土曜 18:35 更新,,,,配信,,ひかりTV,2021-01-23,
2021年1月23日,土曜 18:35 更新,,,,配信,,GYAO!,2021-01-23,
2021年1月23日,土曜 19:00 更新,,,,配信,,Hulu,2021-01-23,
2021年1月23日,土曜 19:00 更新,,,,配信,,TELASA,2021-01-23,
2021年1月23日,土曜 19:00 更新,,,,配信,,J:COMオンデマンド メガパック,2021-01-23,
2021年1月23日,土曜 19:00 更新,,,,配信,,auスマートパスプレミアム,2021-01-23,
2021年1月23日,土曜 22:00 - 22:30,,,,配信,,ニコニコ生放送,2021-01-23,
