期間,時間,放送局,対象地域,備考,タイプ,配信サイト,NHK,開始,終了
2020年4月5日 - 11月8日,日曜 19:00 - 19:25,NHK Eテレ,日本全域,,放送,,,2020-04-05,2020-11-08
2020年4月6日 -,月曜 12:00 更新,,,,配信,アニメ放題,,2020-04-06,
2020年4月6日 -,月曜 12:00 更新,,,,配信,dアニメストア,,2020-04-06,
2020年4月6日 -,月曜 12:00 更新,,,,配信,ひかりTV,,2020-04-06,
2020年4月6日 -,月曜 12:00 更新,,,,配信,Amazonプライム・ビデオ NHKこどもパーク,,2020-04-06,
2020年4月6日 -,月曜 12:00 更新,,,,配信,FOD,,2020-04-06,
2020年4月6日 -,月曜 12:00 更新,,,,配信,J:COMオンデマンド,,2020-04-06,
2020年4月6日 -,月曜 12:00 更新,,,,配信,Netflix,,2020-04-06,
2020年4月6日 -,月曜 12:00 更新,,,,配信,U-NEXT,,2020-04-06,
2020年4月6日 -,月曜 12:00 更新,,,,配信,バンダイチャンネル,,2020-04-06,
2020年4月6日 -,月曜 12:00 更新,,,,配信,Hulu,,2020-04-06,
2020年4月6日 -,月曜 12:00 更新,,,,配信,Google Play,,2020-04-06,
2020年4月6日 -,月曜 12:00 更新,,,,配信,ビデオマーケット,,2020-04-06,
2021年4月2日 - 10月22日,金曜 18:55 - 19:20,NHK Eテレ,日本全域,,放送,,,2021-04-02,2021-10-22
2022年4月6日 - 9月21日,水曜 19:00 - 19:25,NHK Eテレ,日本全域,,放送,,,2022-04-06,2022-09-21
