期間,時間,放送局,対象地域,備考,タイプ,シーズン,配信サイト,開始,終了
2018年4月6日 - 6月29日,金曜 1:28 - 1:58（木曜深夜）,TBSテレビ,関東広域圏,製作局 / 「アニメリコ」第1部 / 字幕放送,放送,,,2018-04-06,2018-06-29
2018年4月15日 - 7月1日,日曜 1:00 - 1:30（土曜深夜）,BS-TBS,日本全域,BS放送 / 「アニメリコ」第1部第1話のみ、2018年4月14日 土曜 23:00 - 23:30に放送。,放送,,,2018-04-15,2018-07-01
2018年4月16日 - 7月9日,月曜 1:00 - 1:30（日曜深夜）,TBSチャンネル1,日本全域,CS放送 / リピート放送あり,放送,,,2018-04-16,2018-07-09
2018年4月18日 - 7月11日,水曜 1:30 - 2:00（火曜深夜）,北陸放送,石川県,,放送,,,2018-04-18,2018-07-11
2018年4月20日 - 7月13日,金曜 1:36 - 2:06（木曜深夜）,あいテレビ,愛媛県,,放送,,,2018-04-20,2018-07-13
2021年4月4日 - 6月27日,日曜 23:00 - 23:30,TOKYO MX,東京都,,放送,,,2021-04-04,2021-06-27
2021年4月7日 - 6月30日,水曜 0:30 - 1:00（火曜深夜）,BS11,日本全域,BS放送 /『ANIME+』枠,放送,,,2021-04-07,2021-06-30
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,Amazonプライム・ビデオ,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,GYAO!ストア,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,Google Play,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,J:COMオンデマンド,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,TSUTAYA TV,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,DMM.com,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,ニコニコ動画,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,HAPPY!動画,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,バンダイチャンネル,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,ひかりTV,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,ビデオパス,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,ビデオマーケット,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,PlayStation Video,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,ムービーフル,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,Rakuten TV,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,dアニメストア,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,dTV,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,Netflix,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,Hulu,2018-04-06,
2018年4月6日以降順次[4],水曜 0:30 - 1:00（火曜深夜）,,,,配信,第1期,U-NEXT,2018-04-06,
