期間,時間,放送局,"対象地域・備考
[134]",タイプ,備考,配信サイト,開始,終了
2021年4月11日 - 9月19日,日曜 2:08 - 2:38（土曜深夜）,毎日放送,近畿広域圏 / 製作参加『アニメシャワー』第1部初回は2:20 - 2:50に放送[135],放送,,,2021-04-11,2021-09-19
2021年4月12日 - 9月20日,月曜 1:35 - 2:05（日曜深夜）,テレビ北海道,北海道,放送,,,2021-04-12,2021-09-20
2021年4月12日 - 9月20日,月曜 1:35 - 2:05（日曜深夜）,テレビ東京,関東広域圏 / 番組協力,放送,,,2021-04-12,2021-09-20
2021年4月12日 - 9月20日,月曜 1:35 - 2:05（日曜深夜）,テレビ愛知,愛知県,放送,,,2021-04-12,2021-09-20
2021年4月12日 - 9月20日,月曜 2:35 - 3:05（日曜深夜）,TVQ九州放送,福岡県,放送,,,2021-04-12,2021-09-20
2021年4月12日 - 9月20日,月曜 21:30 - 22:00,AT-X,製作参加 / CS放送リピート放送あり,放送,,,2021-04-12,2021-09-20
2021年4月15日 - 9月23日,木曜 1:25 - 1:55（水曜深夜）,山陰中央テレビ,島根県・鳥取県,放送,,,2021-04-15,2021-09-23
2021年4月16日 - 9月24日,金曜 2:15 - 2:45（木曜深夜）,琉球朝日放送,沖縄県初回は2:25 - 2:55に放送[135],放送,,,2021-04-16,2021-09-24
2021年4月18日 - 9月26日,日曜 23:00 - 23:30,BS朝日,BS/BS4K放送『アニメA』枠,放送,,,2021-04-18,2021-09-26
2021年4月24日 - 10月2日,土曜 2:25 - 2:55（金曜深夜）,熊本放送,熊本県[136],放送,,,2021-04-24,2021-10-02
2021年7月4日 - 12月11日,日曜 1:28 - 1:58（土曜深夜）,宮崎放送,宮崎県[137],放送,,,2021-07-04,2021-12-11
2021年7月5日 - 12月19日,月曜 0:50 - 1:20（日曜深夜）,テレビ山梨,山梨県[137],放送,,,2021-07-05,2021-12-19
2021年7月23日 - 2022年1月13日,金曜 1:18 - 1:48（木曜深夜）,長崎文化放送,長崎県『あに。』枠[137],放送,,,2021-07-23,2022-01-13
2021年9月7日 - 2022年2月22日,火曜 0:58 - 1:28（月曜深夜）,IBC岩手放送,岩手県[138],放送,,,2021-09-07,2022-02-22
2021年4月11日,日曜 3:08（土曜深夜） 更新,,,配信,定額配信,ABEMAビデオ,2021-04-11,
