期間,時間,放送局,対象地域,備考,タイプ,配信サイト,"対象地域・備考
[64]",開始,終了
2020年4月5日 - 6月21日,日曜 1:30 - 2:00（土曜深夜）,TOKYO MX,東京都,,放送,,,2020-04-05,2020-06-21
2020年4月5日 - 6月21日,日曜 1:30 - 2:00（土曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,2020-04-05,2020-06-21
2020年4月5日 - 6月21日,日曜 3:08 - 3:38（土曜深夜）,毎日放送,近畿広域圏,製作参加 / 字幕放送 / 『アニメシャワー』第3部,放送,,,2020-04-05,2020-06-21
2020年4月6日 - 6月22日,月曜 0:00 - 0:30（日曜深夜）,AT-X,日本全域,CS放送 / 字幕放送 / リピート放送あり,放送,,,2020-04-06,2020-06-22
2020年4月7日 - 6月23日,火曜 2:00 - 2:30（土曜深夜）,J:COMテレビ,日本国内,CATV / 『アニおび』枠,放送,,,2020-04-07,2020-06-23
2020年4月5日,日曜 0:00（土曜深夜） 更新,,,,配信,Netflix,,2020-04-05,
2020年4月5日,日曜 0:00（土曜深夜） 更新,,,,配信,dアニメストア,,2020-04-05,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,Amazon Prime Video,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,J:COMオンデマンド,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,milplus,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,TELASA,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,auスマートパスプレミアム,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,ABEMA,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,U-NEXT,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,アニメ放題,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,FOD,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,TVer,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,MBS動画イズム,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,GYAO!,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,ひかりTV,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,バンダイチャンネル,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,ニコニコ生放送,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,ニコニコチャンネル,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,TSUTAYA TV,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,ビデオマーケット,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,DMM.com,,2020-04-12,
2020年4月12日,日曜 0:00（土曜深夜） 更新,,,,配信,Rakuten TV,,2020-04-12,
