期間,時間,放送局,対象地域,備考,タイプ,配信サイト,"対象地域
[36]",開始,終了
2019年10月5日 - 12月21日,土曜 1:00 - 1:05（金曜深夜）,TOKYO MX,東京都,,放送,,,2019-10-05,2019-12-21
2019年10月5日 - 12月21日,土曜 20:55 - 21:00,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,2019-10-05,2019-12-21
2019年11月30日,土曜 21:00 更新,,,,配信,dアニメストア,,2019-11-30,
2019年11月30日,土曜 21:00 更新,,,,配信,FOD,,2019-11-30,
2019年11月30日,土曜 21:00 更新,,,,配信,Amazonビデオ,,2019-11-30,
2019年11月30日,土曜 21:00 更新,,,,配信,DMM.com,,2019-11-30,
2019年11月30日,土曜 21:00 更新,,,,配信,GYAO!,,2019-11-30,
2019年11月30日,土曜 21:00 更新,,,,配信,GYAO!ストア,,2019-11-30,
2019年11月30日,土曜 21:00 更新,,,,配信,Rakuten TV,,2019-11-30,
2019年11月30日,土曜 21:00 更新,,,,配信,ビデオマーケット,,2019-11-30,
2019年12月1日,日曜 12:00 更新,,,,配信,U-NEXT,,2019-12-01,
2019年12月1日,日曜 12:00 更新,,,,配信,アニメ放題,,2019-12-01,
2019年12月28日 - 2020年3月14日,土曜 1:00 - 1:05（金曜深夜）,TOKYO MX,東京都,,放送,,,2019-12-28,2020-03-14
2019年12月28日 - 2020年3月14日,土曜 20:55 - 21:00,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,2019-12-28,2020-03-14
2019年12月28日,土曜 21:00 更新,,,,配信,dアニメストア,,2019-12-28,
2019年12月28日,土曜 21:00 更新,,,,配信,FOD,,2019-12-28,
2019年12月28日,土曜 21:00 更新,,,,配信,Amazonビデオ,,2019-12-28,
2019年12月28日,土曜 21:00 更新,,,,配信,DMM.com,,2019-12-28,
2019年12月28日,土曜 21:00 更新,,,,配信,GYAO!,,2019-12-28,
2019年12月28日,土曜 21:00 更新,,,,配信,GYAO!ストア,,2019-12-28,
2019年12月28日,土曜 21:00 更新,,,,配信,Rakuten TV,,2019-12-28,
2019年12月28日,土曜 21:00 更新,,,,配信,ビデオマーケット,,2019-12-28,
2019年12月29日,日曜 12:00 更新,,,,配信,U-NEXT,,2019-12-29,
2019年12月29日,日曜 12:00 更新,,,,配信,アニメ放題,,2019-12-29,
2021年1月8日 - 3月26日,土曜 1:00 - 1:30（金曜深夜）,TOKYO MX,,,放送,,東京都,2021-01-08,2021-03-26
2021年1月8日 - 3月26日,土曜 1:30 - 2:00（金曜深夜）,BS11,,,放送,,日本全域,2021-01-08,2021-03-26
2021年1月10日 - 3月28日,月曜 23:30 - 火曜 0:00,AT-X,,,放送,,日本全域,2021-01-10,2021-03-28
2021年1月8日,土曜 12:00 更新,,,,配信,ABEMA,,2021-01-08,
2021年1月8日,土曜 12:00 更新,,,,配信,Amazon Prime Video,,2021-01-08,
2021年1月8日,土曜 12:00 更新,,,,配信,dアニメストア,,2021-01-08,
2021年1月8日,土曜 12:00 更新,,,,配信,Hulu,,2021-01-08,
2021年1月8日,土曜 12:00 更新,,,,配信,U-NEXT,,2021-01-08,
2021年1月8日,土曜 12:00 更新,,,,配信,アニメ放題,,2021-01-08,
2021年1月8日,土曜 12:00 更新,,,,配信,Google Play,,2021-01-08,
2021年1月8日,土曜 12:00 更新,,,,配信,Rakuten TV,,2021-01-08,
2021年1月8日,土曜 12:00 更新,,,,配信,ビデオマーケット,,2021-01-08,
2021年1月8日,土曜 12:00 更新,,,,配信,DMM.com,,2021-01-08,
2021年1月8日,土曜 12:00 更新,,,,配信,music.jp,,2021-01-08,
2021年1月8日,土曜 12:00 更新,,,,配信,GYAO!ストア,,2021-01-08,
2021年1月8日,土曜 19:00 更新,,,,配信,TSUTAYA TV,,2021-01-08,
2021年1月11日,火曜 12:00 更新,,,,配信,ひかりTV,,2021-01-11,
2021年1月11日,火曜 12:00 更新,,,,配信,J:COMオンデマンド,,2021-01-11,
2021年1月11日,火曜 12:00 更新,,,,配信,みるプラス,,2021-01-11,
2021年1月11日,火曜 12:00 更新,,,,配信,iTSCOMオンデマンド,,2021-01-11,
2021年1月11日,火曜 12:00 更新,,,,配信,TELASA,,2021-01-11,
