期間,時間,配信サイト,タイプ,放送局,対象地域,備考,"対象地域・備考
[22]",開始,終了
2018年1月10日,水曜 0:30 - 1:00（火曜深夜）,ニコニコ生放送,配信,,,,,2018-01-10,
2018年1月10日,水曜 1:00（火曜深夜）更新,ニコニコチャンネル,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,Netflix,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,J:COMオンデマンド,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,ひかりTV,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,Amazon Prime Video,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,ビデオマーケット,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,Google Play,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,Rakuten TV,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,TSUTAYA TV,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,GYAO!,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,PlayStation Video,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,バンダイチャンネル,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,アクトビラ,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,HAPPY!動画,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,ムービーフルPlus,配信,,,,,2018-01-10,
2018年1月10日,水曜 更新,OnGenムービー,配信,,,,,2018-01-10,
2019年7月7日 - 9月22日,日曜 23:30 - 月曜 0:00,,放送,TOKYO MX,東京都,,,2019-07-07,2019-09-22
2019年7月8日 - 9月23日,月曜 22:00 - 22:30,,放送,AT-X,日本全域,CS放送 / リピート放送あり,,2019-07-08,2019-09-23
2019年7月9日 - 9月24日,火曜 2:29 - 2:59（月曜深夜）,,放送,読売テレビ,近畿広域圏,『MANPA』第2部,,2019-07-09,2019-09-24
2019年7月9日 - 9月24日,火曜 23:30 - 水曜 0:00,,放送,BS日テレ,日本全域,BS/BS4K放送[注 5],,2019-07-09,2019-09-24
2019年7月10日 - 9月25日,水曜 23:30 - 木曜 0:00,,放送,J:COMテレビ,日本国内,CATV / 『アニおび』枠,,2019-07-10,2019-09-25
2019年7月12日 - 9月27日,金曜 1:00 - 1:30（木曜深夜）,,放送,テレビ神奈川,神奈川県,[25],,2019-07-12,2019-09-27
2019年7月18日 - 10月3日,木曜 2:26 - 2:56（水曜深夜）,,放送,北海道放送,北海道,[25],,2019-07-18,2019-10-03
2019年7月7日,日曜 更新,Netflix,配信,,,,,2019-07-07,
2019年7月10日,水曜 更新,ニコニコチャンネル,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,J:COMオンデマンド,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,みるプラス,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,ビデオパス,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,FOD,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,バンダイチャンネル,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,ビデオマーケット,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,DMM.com,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,クランクイン！ビデオ,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,U-NEXT,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,あにてれ,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,ひかりTV,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,GYAO!,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,Amazon Prime Video,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,Google Play,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,YouTube,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,Rakuten TV,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,TSUTAYA TV,配信,,,,,2019-07-10,
2019年7月10日,水曜 更新,HAPPY!動画,配信,,,,,2019-07-10,
