期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2012年10月6日 - 2013年4月6日,土曜 0:30 - 1:00（金曜深夜）,TOKYO MX,東京都,,放送,,2012-10-06,2013-04-06
2012年10月7日 - 2013年4月7日,日曜 1:58 - 2:28（土曜深夜）,毎日放送,近畿広域圏,『アニメシャワー』第1部,放送,,2012-10-07,2013-04-07
2012年10月9日 - 2013年4月8日,火曜 2:25 - 2:55（月曜深夜）,RKB毎日放送,福岡県,,放送,,2012-10-09,2013-04-08
2012年10月10日 - 2013年4月10日,水曜 1:30 - 2:00（火曜深夜）,東北放送,宮城県,作者の出身地,放送,,2012-10-10,2013-04-10
2012年10月11日 - 2013年4月11日,木曜 2:30 - 3:00（水曜深夜）,中部日本放送,中京広域圏,,放送,,2012-10-11,2013-04-11
2012年10月13日 - 2013年4月13日,土曜 0:00 - 0:30（金曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠[注 21],放送,,2012-10-13,2013-04-13
2013年1月29日 - 7月30日,火曜 19:30 - 20:00,アニマックス,日本全域,BS/CS放送 / リピート放送あり[注 22],放送,,2013-01-29,2013-07-30
2012年10月11日,木曜 12:00 更新,,,[注 23],配信,バンダイチャンネル,2012-10-11,
2012年10月11日,木曜 12:00 更新,,,[注 24],配信,ニコニコチャンネル,2012-10-11,
2012年10月11日,木曜 12:00 更新,,,[注 25],配信,ShowTime,2012-10-11,
2012年10月11日,木曜 23:00 - 23:30,,,,配信,ニコニコ生放送,2012-10-11,
2012年10月20日,土曜 0:00（金曜深夜） 更新,,,[注 26],配信,バンダイチャンネル,2012-10-20,
2014年4月5日 - 9月13日,土曜 0:30 - 1:00（金曜深夜）,TOKYO MX,東京都,,放送,,2014-04-05,2014-09-13
2014年4月6日 - 9月13日,日曜 3:28 - 3:58（土曜深夜）,毎日放送,近畿広域圏,『アニメシャワー』第4部,放送,,2014-04-06,2014-09-13
2014年4月9日 - 9月16日,水曜 1:48 - 2:18（火曜深夜）,東北放送,宮城県,作者の出身地,放送,,2014-04-09,2014-09-16
