期間,時間,放送局,対象地域,備考,タイプ,表話編歴よるドラ（NHK総合）,開始,終了
2021年10月7日 - 12月23日,木曜 0:00 - 0:30（水曜深夜）,テレビ東京,関東広域圏,製作参加,放送,,2021-10-07,2021-12-23
2021年10月7日 - 12月23日,木曜 1:35 - 2:05（水曜深夜）,テレビ大阪,大阪府,,放送,,2021-10-07,2021-12-23
2021年10月7日 - 12月23日,木曜 2:05 - 2:35（水曜深夜）,テレビ愛知,愛知県,,放送,,2021-10-07,2021-12-23
2022年4月7日 - 6月23日,木曜 0:00 - 0:30（水曜深夜）,テレビ東京,関東広域圏,,放送,,2022-04-07,2022-06-23
2022年4月7日 - 6月23日,木曜 0:30 - 1:00（水曜深夜）,BSテレ東,日本全域,BS/BS4K放送,放送,,2022-04-07,2022-06-23
2022年4月7日 - 6月23日,木曜 1:35 - 2:05（水曜深夜）,テレビ大阪,大阪府,,放送,,2022-04-07,2022-06-23
2022年4月7日 - 6月23日,木曜 2:05 - 2:35（水曜深夜）,テレビ愛知,愛知県,,放送,,2022-04-07,2022-06-23
2022年4月7日 - 6月23日,木曜 2:05 - 2:35（水曜深夜）,,,,配信,"植物男子ベランダー
植物男子ベランダー Season2",2022-04-07,2022-06-23
2022年4月7日 - 6月23日,木曜 2:05 - 2:35（水曜深夜）,,,,配信,"ゾンビが来たから人生見つめ直した件
腐女子、うっかりゲイに告る。
だから私は推しました
決してマネしないでください。",2022-04-07,2022-06-23
2022年4月7日 - 6月23日,木曜 2:05 - 2:35（水曜深夜）,,,,配信,"伝説のお母さん
いいね!光源氏くん
腐女子、うっかりゲイに告る。（再放送）
彼女が成仏できない理由
閻魔堂沙羅の推理奇譚",2022-04-07,2022-06-23
2022年4月7日 - 6月23日,木曜 2:05 - 2:35（水曜深夜）,,,,配信,"ここは今から倫理です。
きれいのくに
いいね! 光源氏くん し〜ずん2
古見さんは、コミュ症です。
阿佐ヶ谷姉妹の のほほんふたり暮らし",2022-04-07,2022-06-23
2022年4月7日 - 6月23日,木曜 2:05 - 2:35（水曜深夜）,,,,配信,恋せぬふたり,2022-04-07,2022-06-23
2022年4月7日 - 6月23日,木曜 2:05 - 2:35（水曜深夜）,,,,配信,"シリーズ・江戸川乱歩短編集
聖☆おにいさん
Living",2022-04-07,2022-06-23
