期間,時間,放送局,対象地域,備考,タイプ,フジテレビ,開始,終了
2022年7月8日 - 9月30日,金曜 0:55 - 1:25（木曜深夜）,フジテレビ,関東広域圏,製作参加,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 0:55 - 1:25（木曜深夜）,岩手めんこいテレビ,岩手県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 0:55 - 1:25（木曜深夜）,さくらんぼテレビ,山形県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 0:55 - 1:25（木曜深夜）,福島テレビ,福島県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 0:55 - 1:25（木曜深夜）,サガテレビ,佐賀県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 1:05 - 1:35（木曜深夜）,テレビ愛媛,愛媛県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 1:20 - 1:50（木曜深夜）,秋田テレビ,秋田県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 1:30 - 2:00（木曜深夜）,長野放送,長野県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 1:30 - 2:00（木曜深夜）,テレビ静岡,静岡県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 1:30 - 2:00（木曜深夜）,鹿児島テレビ,鹿児島県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 1:45 - 2:15（木曜深夜）,テレビ熊本,熊本県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 1:50 - 2:20（木曜深夜）,NST新潟総合テレビ,新潟県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 1:55 - 2:25（木曜深夜）,仙台放送,宮城県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 1:55 - 2:25（木曜深夜）,関西テレビ,近畿広域圏,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 1:55 - 2:25（木曜深夜）,テレビ西日本,福岡県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 2:00 - 2:30（木曜深夜）,テレビ新広島,広島県,,放送,,2022-07-08,2022-09-30
2022年7月8日 - 9月30日,金曜 2:07 - 2:37（木曜深夜）,東海テレビ,中京広域圏,,放送,,2022-07-08,2022-09-30
2022年7月13日 - 10月5日,水曜 1:50 - 2:20（火曜深夜）,北海道文化放送,北海道,,放送,,2022-07-13,2022-10-05
2022年7月16日 - 10月8日,土曜 21:00 - 21:30,アニマックス,日本全域,製作参加 / BS/CS放送,放送,,2022-07-16,2022-10-08
2022年8月30日 - 11月22日,火曜 1:25 - 1:55（月曜深夜）,さんいん中央テレビ,島根県・鳥取県,,放送,,2022-08-30,2022-11-22
