期間,時間,放送局,対象地域,備考,タイプ,表話編歴関西テレビ（カンテレ）製作新作深夜アニメ,ノイタミナ1,表話編歴ノイタミナ,2005年4月,2010年4月,上段,下段,2015年4月,ノイタミナムービー（劇場版作品）,レギュラーネット局,過去,関係の深い製作会社,関連人物,関連項目,開始,終了
2022年10月6日 - 12月22日,木曜 21:00 - 21:30,AT-X,日本全域,製作参加 / CS放送 / 字幕放送[36] / リピート放送あり,放送,,,,,,,,,,,,,,,2022-10-06,2022-12-22
2022年10月6日 - 12月22日,木曜 23:30 - 金曜 0:00,TOKYO MX,東京都,製作参加,放送,,,,,,,,,,,,,,,2022-10-06,2022-12-22
2022年10月7日 - 12月23日,金曜 0:30 - 1:00 （木曜深夜）,BS日テレ,日本全域,製作参加 / BS/BS4K放送 / 『アニメにむちゅ〜』枠,放送,,,,,,,,,,,,,,,2022-10-07,2022-12-23
2022年10月7日 - 12月23日,金曜 2:55 - 3:25 （木曜深夜）,関西テレビ,近畿広域圏,製作参加,放送,,,,,,,,,,,,,,,2022-10-07,2022-12-23
2022年10月7日 - 12月23日,金曜 2:55 - 3:25 （木曜深夜）,,,,配信,"ギルガメッシュ
ウマ娘 プリティーダービー Season 2",,,,,,,,,,,,,,2022-10-07,2022-12-23
2022年10月7日 - 12月23日,金曜 2:55 - 3:25 （木曜深夜）,,,,配信,"ハチミツとクローバー
Paradise Kiss
怪 〜ayakashi〜
獣王星
ハチミツとクローバーII
働きマン
のだめカンタービレ
モノノ怪
もやしもん
墓場鬼太郎
図書館戦争
西洋骨董洋菓子店 〜アンティーク〜
のだめカンタービレ 巴里編
源氏物語千年紀 Genji
東のエデン
東京マグニチュード8.0
空中ブランコ
のだめカンタービレ フィナーレ",,,,,,,,,,,,,,2022-10-07,2022-12-23
2022年10月7日 - 12月23日,金曜 2:55 - 3:25 （木曜深夜）,,,,配信,"四畳半神話大系
もやしもん（ドラマ版）
海月姫
フラクタル
C
うさぎドロップ
UN-GO
テルマエ・ロマエ
ブラック★ロックシューター
坂道のアポロン
もやしもん リターンズ
PSYCHO-PASS サイコパス
刀語（ノイタミナ版）1時間枠
銀の匙 Silver Spoon（第1期）
ガリレイドンナ
銀の匙 Silver Spoon（第2期）
ピンポン THE ANIMATION
残響のテロル
PSYCHO-PASS サイコパス 2
冴えない彼女の育てかた
2.43 清陰高校男子バレー部",,,,,,,,,,,,,,2022-10-07,2022-12-23
2022年10月7日 - 12月23日,金曜 2:55 - 3:25 （木曜深夜）,,,,配信,"さらい屋 五葉
屍鬼
放浪息子
あの日見た花の名前を僕達はまだ知らない。
NO.6
ギルティクラウン
つり球
夏雪ランデブー
ROBOTICS;NOTES
あの日見た花の名前を僕達はまだ知らない。(スペシャルオンエア版)
サムライフラメンコ
龍ヶ嬢七々々の埋蔵金
PSYCHO-PASS サイコパス 新編集版1時間枠
四月は君の嘘
約束のネバーランド（Season 2）",,,,,,,,,,,,,,2022-10-07,2022-12-23
2022年10月7日 - 12月23日,金曜 2:55 - 3:25 （木曜深夜）,,,,配信,"パンチライン
乱歩奇譚 Game of Laplace
すべてがFになる THE PERFECT INSIDER
僕だけがいない街
甲鉄城のカバネリ
バッテリー
舟を編む
クズの本懐
冴えない彼女の育てかた♭
DIVE!!
いぬやしき
恋は雨上がりのように
ヲタクに恋は難しい
BANANA FISH
約束のネバーランド（Season 1）
さらざんまい
ギヴン
PSYCHO-PASS サイコパス 3
うちタマ?! 〜うちのタマ知りませんか?〜
富豪刑事 Balance:UNLIMITED
バクテン!!
平穏世代の韋駄天達
王様ランキング
よふかしのうた
うる星やつら
王様ランキング 勇気の宝箱
るろうに剣心 -明治剣客浪漫譚-",,,,,,,,,,,,,,2022-10-07,2022-12-23
2022年10月7日 - 12月23日,金曜 2:55 - 3:25 （木曜深夜）,,,,配信,"劇場版 PSYCHO-PASS サイコパス
台風のノルダ
心が叫びたがってるんだ。
屍者の帝国
ハーモニー
虐殺器官
夜は短し歩けよ乙女
夜明け告げるルーのうた",,,,,,,,,,,,,,2022-10-07,2022-12-23
