期間,時間,放送局,"対象地域
[24]",タイプ,対象地域[24],備考,開始,終了
2017年10月07日 - 12月23日,土曜 06:54 - 07:00,テレビ東京,関東広域圏,放送,,,2017-10-07,2017-12-23
2018年10月03日 - 12月19日,水曜 19:55 - 20:00,TOKYO MX,東京都,放送,,,2018-10-03,2018-12-19
2018年10月06日 - 12月22日,土曜 08:25 - 08:30,テレビ神奈川,神奈川県,放送,,,2018-10-06,2018-12-22
2019年10月03日 - 12月19日,木曜 19:26 - 19:30,TOKYO MX,東京都,放送,,,2019-10-03,2019-12-19
2019年10月06日 - 12月22日,日曜 11:54 - 11:57,サンテレビ,兵庫県,放送,,,2019-10-06,2019-12-22
2021年04月25日 - 07月11日,日曜 21:55 - 22:00,BS12 TwellV,日本全域,放送,,,2021-04-25,2021-07-11
2021年04月26日 - 07月12日,月曜 07:57 - 08:00,BS12 TwellV,リピート放送,放送,,,2021-04-26,2021-07-12
2020年10月01日 - 12月17日,木曜 19:26 - 19:30,TOKYO MX,,放送,東京都,,2020-10-01,2020-12-17
2021年01月03日 - 04月18日,日曜 21:55 - 22:00,BS12 TwellV,,放送,日本全域,3月は休止,2021-01-03,2021-04-18
2021年01月04日 - 04月19日,月曜 07:57 - 08:00,BS12 TwellV,,放送,,リピート放送,2021-01-04,2021-04-19
2021年10月07日 - 12月30日,木曜 19:22 - 19:34,TOKYO MX,東京都,放送,,,2021-10-07,2021-12-30
2021年10月08日 - 12月31日,金曜 07:00 - 07:15,サンテレビ,兵庫県,放送,,,2021-10-08,2021-12-31
2022年08月02日 -,火曜 19:00 - 19:25,TOKYO MX,東京都,放送,,,2022-08-02,
2022年10月6日 - 12月29日,木曜 19:22 - 19:34,TOKYO MX,東京都,放送,,,2022-10-06,2022-12-29
2022年10月9日 - 2023年1月8日,日曜 17:00 - 17:15,サンテレビ,兵庫県,放送,,,2022-10-09,2023-01-08
