期間,時間,放送局,対象地域,備考,タイプ,配信サイト,表話編歴BSフジ『アニメギルド』自社製作新作作品,0:00,表話編歴+Ultra(カテゴリ),放送作品,レギュラーネット局・配信サイト,関係の深い製作会社,関連項目,開始,終了
2021年10月1日 - 12月24日,金曜 22:00 - 22:30,TOKYO MX,東京都,製作局 / 字幕放送,放送,,,,,,,,,2021-10-01,2021-12-24
2021年10月2日 - 12月25日,土曜 0:30 - 1:00（金曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,,,,,,,,,2021-10-02,2021-12-25
2021年10月2日 - 12月25日,土曜 1:00 - 1:30（金曜深夜）,J:COMテレビ,日本国内,CATV / 『アニおび』枠,放送,,,,,,,,,2021-10-02,2021-12-25
2022年7月8日 - 9月30日,金曜 22:00 - 22:30,TOKYO MX,東京都,製作局 / 字幕放送,放送,,,,,,,,,2022-07-08,2022-09-30
2022年7月9日 - 10月1日,土曜 0:30 - 1:00（金曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,,,,,,,,,2022-07-09,2022-10-01
2021年10月1日,金曜 22:30 更新,,,,配信,YouTube（LEVEL5ch・バンダイ公式チャンネル）,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,ABEMA,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,GYAO!,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,Amazon Prime Video,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,dアニメストア（本店・for Prime Video）,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,J:COMオンデマンド,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,milplus,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,TELASA,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,TSUTAYA TV,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,U-NEXT,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,アニメ放題,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,アニメカ,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,バンダイチャンネル,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,ふらっと動画,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,DMM.com,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,Google Play,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,GYAO!ストア,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,HAPPY!動画,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,music.jp,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,Rakuten TV,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,VIDEX,,,,,,,,2021-10-01,
2021年10月1日,金曜 22:30 更新,,,,配信,ニコニコチャンネル,,,,,,,,2021-10-01,
