期間,時間,放送局,"対象地域・備考
[61]",タイプ,配信サイト,開始,終了
2022年10月12日 - 12月28日,水曜 0:00 - 0:30（火曜深夜）,テレビ東京（番組担当・番組宣伝）ほか系列全6局,北海道・関東広域圏・愛知県・大阪府・岡山県・香川県・福岡県,放送,,2022-10-12,2022-12-28
2022年10月12日 - 12月28日,水曜 21:30 - 22:00,AT-X,CS放送 / リピート放送あり,放送,,2022-10-12,2022-12-28
2022年10月22日 - 2023年1月7日,土曜 0:55 - 1:25（金曜深夜）,長崎放送,長崎県,放送,,2022-10-22,2023-01-07
2022年10月22日 - 2023年1月14日,土曜 1:55 - 2:25（金曜深夜）,新潟放送,新潟県 / 『BSN THE アニメ』枠,放送,,2022-10-22,2023-01-14
2022年10月28日 - 2023年1月20日,金曜 1:28 - 1:58（木曜深夜）,テレビユー福島,福島県,放送,,2022-10-28,2023-01-20
2022年10月29日 - 2023年1月21日,土曜 1:55 - 2:25（金曜深夜）,テレビユー山形,山形県,放送,,2022-10-29,2023-01-21
2022年10月29日 -,土曜 21:00 - 21:30,アニマックス,BS/CS放送,放送,,2022-10-29,
2022年11月4日 - 2023年1月27日,金曜 2:00 - 2:30（木曜深夜）,鹿児島テレビ,鹿児島県,放送,,2022-11-04,2023-01-27
2022年10月12日,水曜 1:00（火曜深夜） 更新,,,配信,Amazon Prime Video,2022-10-12,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,ABEMAビデオ（ABEMAプレミアム）,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,Disney+,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,dTV,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,FOD,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,Hulu,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,J:COMオンデマンドメガパック,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,milplus,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,Netflix,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,Paravi,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,TELASA,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,U-NEXT,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,WOWOWオンデマンド,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,アニメタイムズ,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,アニメ放題,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,auスマートパスプレミアム,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,バンダイチャンネル,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,GYAO!,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,ニコニコチャンネル,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,ネットもテレ東,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,HAPPY!動画,2022-10-13,
2022年10月13日,木曜 1:00（水曜深夜） 更新,,,配信,ムービーフルplus,2022-10-13,
2022年10月13日,木曜 1:00 - 1:30（水曜深夜）,,,配信,ABEMA,2022-10-13,
