放送地域,放送局,放送系列,ネット形態,備考,タイプ,フジテレビ系列
関東広域圏,フジテレビ,フジテレビ系列,製作局,,放送,
青森県,青森放送,日本テレビ系列テレビ朝日系列,遅れネット,木曜 17:30 - 18:00,放送,
宮城県,仙台放送,フジテレビ系列,同時ネット,,放送,
秋田県,秋田テレビ,フジテレビ系列テレビ朝日系列,同時ネット→遅れネット,[注 23],放送,
山形県,山形テレビ,フジテレビ系列,同時ネット,,放送,
福島県,福島テレビ,フジテレビ系列,遅れネット→同時ネット,1983年3月まではTBS系列とのクロスネット局[注 24],放送,
山梨県,山梨放送,日本テレビ系列,遅れネット,火曜 17:00 - 17:30,放送,
新潟県,新潟総合テレビ,フジテレビ系列,遅れネット→同時ネット,1983年9月まではテレビ朝日系列とのクロスネット局[注 25],放送,
山口県,テレビ山口,TBS系列フジテレビ系列,遅れネット,水曜 17:30 - 18:00[注 26],放送,
愛媛県,テレビ愛媛,フジテレビ系列,同時ネット,,放送,
高知県,テレビ高知,TBS系列,遅れネット,月曜 16:00 - 16:30,放送,
福岡県,テレビ西日本,フジテレビ系列,同時ネット,,放送,
長崎県,テレビ長崎,フジテレビ系列日本テレビ系列,30分先行放送,[注 27],放送,
熊本県,テレビ熊本,フジテレビ系列テレビ朝日系列,同時ネット,,放送,
大分県,テレビ大分,日本テレビ系列フジテレビ系列テレビ朝日系列,遅れネット,木曜日17:30 - 18:00[注 26],放送,
鹿児島県,鹿児島テレビ,日本テレビ系列フジテレビ系列,30分先行放送,1982年9月まではテレビ朝日系列とのトリプルネット局[注 27],放送,
沖縄県,沖縄テレビ,フジテレビ系列,同時ネット,,放送,
