期間,時間,放送局,対象地域,備考,タイプ,配信サイト,表話編歴ブシロードグループ,開始,終了
2020年10月30日 - 2021年1月29日,金曜 23:00 - 23:30,TOKYO MX,東京都,,放送,,,2020-10-30,2021-01-29
2020年10月30日 - 2021年1月29日,金曜 23:00 - 23:30,千葉テレビ,千葉県,,放送,,,2020-10-30,2021-01-29
2020年10月30日 - 2021年1月29日,金曜 23:00 - 23:30,tvk,神奈川県,,放送,,,2020-10-30,2021-01-29
2020年10月30日 - 2021年1月29日,金曜 23:00 - 23:30,BS日テレ,日本全域,BS/BS4K放送 / 『アニメにむちゅ〜』枠,放送,,,2020-10-30,2021-01-29
2020年10月30日 - 2021年1月29日,金曜 23:00 - 23:30,AT-X,日本全域,CS放送 / リピート放送あり,放送,,,2020-10-30,2021-01-29
2020年10月30日 - 2021年1月29日,金曜 23:30 - 土曜 0:00,サンテレビ,兵庫県,,放送,,,2020-10-30,2021-01-29
2020年10月31日 - 2021年1月30日,土曜 1:30 - 2:00（金曜深夜）,KBS京都,京都府,,放送,,,2020-10-31,2021-01-30
2020年10月31日 - 2021年2月6日,土曜 1:55 - 2:25（金曜深夜）,テレビユー山形,山形県,,放送,,,2020-10-31,2021-02-06
2020年11月1日 - 2021年1月31日,日曜 1:34 - 2:04（土曜深夜）,テレビ山口,山口県,,放送,,,2020-11-01,2021-01-31
2020年11月1日 - 2021年1月31日,日曜 1:58 - 2:28（土曜深夜）,宮崎放送,宮崎県,,放送,,,2020-11-01,2021-01-31
2020年11月1日 - 2021年1月31日,日曜 2:00 - 2:30（土曜深夜）,RKB毎日放送,福岡県,,放送,,,2020-11-01,2021-01-31
2020年11月2日 - 2021年2月1日,月曜 1:30 - 2:00（日曜深夜）,北陸朝日放送,石川県,,放送,,,2020-11-02,2021-02-01
2020年11月2日 - 2021年1月4日2021年1月11日 - 2月1日,月曜 1:35 - 2:05（日曜深夜）月曜 1:05 - 1:35（日曜深夜）,テレビ愛知,愛知県,,放送,,,2020-11-02,2021-01-04
2020年11月2日 - 2021年2月1日,月曜 2:20 - 2:50（日曜深夜）,大分放送,大分県,,放送,,,2020-11-02,2021-02-01
2020年11月3日 - 2021年2月2日,火曜 1:20 - 1:50（月曜深夜）,長野朝日放送,長野県,,放送,,,2020-11-03,2021-02-02
2020年11月3日 - 2021年2月2日,火曜 1:20 - 1:50（月曜深夜）,琉球朝日放送,沖縄県,,放送,,,2020-11-03,2021-02-02
2020年11月3日 - 2021年2月2日,火曜 1:39 - 2:09（月曜深夜）,青森テレビ,青森県,,放送,,,2020-11-03,2021-02-02
2020年11月3日 - 2021年2月2日,火曜 1:50 - 2:20（月曜深夜）,岩手朝日テレビ,岩手県,,放送,,,2020-11-03,2021-02-02
2020年11月3日 - 2021年2月2日,火曜 1:50 - 2:20（月曜深夜）,秋田朝日放送,秋田県,,放送,,,2020-11-03,2021-02-02
2020年11月3日 - 2021年2月2日,火曜 1:52 - 2:22（月曜深夜）,RSK山陽放送,岡山県・香川県,,放送,,,2020-11-03,2021-02-02
2020年11月3日 - 2021年2月2日,火曜 1:59 - 2:29（月曜深夜）,静岡朝日テレビ,静岡県,,放送,,,2020-11-03,2021-02-02
2020年11月4日 - 2021年2月3日,水曜 1:20 - 1:50（火曜深夜）,福島放送,福島県,,放送,,,2020-11-04,2021-02-03
2020年11月4日 - 2021年2月3日,水曜 1:31 - 2:01（火曜深夜）,東日本放送,宮城県,,放送,,,2020-11-04,2021-02-03
2020年11月4日 - 2021年2月3日,水曜 1:50 - 2:20（火曜深夜）,愛媛朝日テレビ,愛媛県,,放送,,,2020-11-04,2021-02-03
2020年11月4日 - 2021年2月3日,水曜 2:00 - 2:30（火曜深夜）,テレビ新広島,広島県,,放送,,,2020-11-04,2021-02-03
2020年11月5日 - 2021年2月4日,木曜 1:55 - 2:25（水曜深夜）,テレビくまもと,熊本県,,放送,,,2020-11-05,2021-02-04
2020年11月6日 - 2021年2月5日,金曜 1:05 - 1:35（木曜深夜）,南日本放送,鹿児島県,『よるアニメ』枠,放送,,,2020-11-06,2021-02-05
2020年11月6日 - 2021年2月5日,金曜 1:18 - 1:50（木曜深夜）,長崎文化放送,長崎県,『あに。』枠,放送,,,2020-11-06,2021-02-05
2020年11月6日 - 2021年2月5日,金曜 1:20 - 1:50（木曜深夜）,北海道テレビ,北海道,,放送,,,2020-11-06,2021-02-05
2020年11月6日 - 2021年2月5日,金曜 1:25 - 1:55（木曜深夜）,新潟テレビ21,新潟県,,放送,,,2020-11-06,2021-02-05
2020年11月6日 - 2021年2月5日,金曜 2:30 - 3:00（木曜深夜）,テレビ山梨,山梨県,,放送,,,2020-11-06,2021-02-05
2020年10月30日,金曜 23:00 - 23:30,,,[85],配信,YouTube,,2020-10-30,
2020年10月30日,金曜 23:00 - 23:30,,,[85],配信,Twitter,,2020-10-30,
2020年10月31日,土曜 1:30 - 2:00（金曜深夜）,,,,配信,ABEMA,,2020-10-31,
未定,未定,,,,配信,Amazonプライム・ビデオ,,,
未定,未定,,,,配信,U-NEXT,,,
未定,未定,,,,配信,Hulu,,,
未定,未定,,,,配信,dアニメストア,,,
未定,未定,,,,配信,TELASA,,,
未定,未定,,,,配信,J:COMオンデマンド,,,
未定,未定,,,,配信,HAPPY!動画,,,
未定,未定,,,,配信,Rakuten TV,,,
未定,未定,,,,配信,TSUTAYA TV,,,
未定,未定,,,,配信,ひかりTV,,,
未定,未定,,,,配信,ふらっと動画,,,
未定,未定,,,,配信,FOD,,,
未定,未定,,,,配信,あにてれ,,,
未定,未定,,,,配信,バンダイチャンネル,,,
未定,未定,,,,配信,ニコニコチャンネル,,,
未定,未定,,,,配信,ニコニコ生放送,,,
未定,未定,,,,配信,ビデオマーケット,,,
未定,未定,,,,配信,DMM.com,,,
未定,未定,,,,配信,COCORO VIDEO,,,
未定,未定,,,,配信,music.jp,,,
未定,未定,,,,配信,GYAO!ストア,,,
2023年1月13日 - 3月31日,金曜 23:00 - 23:30,TOKYO MX,東京都,製作参加,放送,,,2023-01-13,2023-03-31
2023年1月13日 - 3月31日,金曜 23:00 - 23:30,BS日テレ,日本全域,製作参加 / BS/BS4K放送 / 『アニメにむちゅ〜』枠,放送,,,2023-01-13,2023-03-31
2023年1月13日 - 3月31日,金曜 23:00 - 23:30,AT-X,日本全域,CS放送 / 字幕放送[88] / リピート放送あり,放送,,,2023-01-13,2023-03-31
2023年1月14日 - 4月1日,土曜 1:00 - 1:30（金曜深夜）,KBS京都,京都府,,放送,,,2023-01-14,2023-04-01
