id,rows_count,user_mean
2023-01-621,36,64.6923076923077
2020-10-183,31,358.92857142857144
2022-10-547,22,928.1538461538462
2020-04-86,22,62.12
2021-10-397,21,254.75
2020-07-104,21,228.125
2021-01-203,20,200.58333333333331
2021-01-202,19,47.083333333333336
2020-01-43,18,2001.7857142857144
2020-01-24,18,120.9090909090909
2022-04-484,17,1907.9166666666667
2021-10-389,14,118.25
2022-04-455,14,115.92307692307692
2021-01-235,13,137.83333333333334
2020-10-173,11,453.75
2020-10-178,11,400.76
2021-07-327,11,284.9166666666667
2021-01-192,11,244.7692307692308
2021-10-378,11,227.0
2020-04-77,11,39.91666666666666
2021-01-200,10,1128.923076923077
2021-01-214,10,312.25
2022-04-447,10,255.6153846153846
2021-01-215,10,116.36363636363636
2021-07-311,10,110.84615384615384
2020-01-30,10,86.33333333333333
2021-07-312,10,81.25
2022-10-549,10,75.91666666666667
2022-01-441,10,63.25
2022-01-431,9,1020.6666666666666
2022-01-417,9,815.1666666666666
2022-11-595,9,729.5714285714286
2020-07-116,9,306.0
2021-01-216,9,295.6923076923077
2021-01-194,9,267.0
2022-07-527,9,215.75
2022-07-530,9,58.083333333333336
2021-07-308,9,41.53846153846154
2022-10-588,8,3202.25
2022-10-582,8,1924.1666666666667
2022-04-452,8,1182.5384615384614
2020-10-147,8,706.8461538461538
2021-10-368,8,514.9166666666666
2022-04-480,8,365.6363636363636
2020-10-137,8,303.6923076923077
2021-10-359,8,297.6666666666667
2020-10-148,8,283.0769230769231
2021-07-319,8,231.92307692307693
2020-07-106,8,181.92307692307693
2020-01-35,8,153.08333333333334
2021-10-384,8,115.33333333333331
2022-07-501,8,112.46153846153848
2020-01-1,8,90.41666666666669
2023-01-620,8,68.93333333333334
2020-10-143,8,66.58333333333333
2021-10-365,8,48.38461538461539
2020-01-16,8,26.466666666666665
2022-07-500,7,2227.076923076923
2020-04-89,7,740.8333333333334
2020-01-36,7,405.1666666666667
2021-10-369,7,376.25
2022-01-416,7,325.3333333333333
2020-07-119,7,235.83333333333331
2020-10-149,7,216.7692307692308
2022-07-504,7,210.30769230769232
2020-04-70,7,188.56410256410257
2022-10-557,7,171.45454545454547
2021-07-313,7,168.69230769230768
2023-01-631,7,163.33333333333334
2022-04-487,7,161.6153846153846
2020-04-54,7,147.25
2020-07-103,7,136.3846153846154
2023-01-610,7,83.0
2022-01-407,7,75.92857142857143
2020-04-67,7,72.86538461538461
2021-01-230,7,35.833333333333336
2021-01-197,7,22.08333333333333
2020-01-3,6,896.6153846153846
2021-08-345,6,669.2222222222222
2022-10-552,6,551.25
2020-10-135,6,418.9166666666667
2022-01-438,6,321.09090909090907
2020-01-0,6,316.6923076923077
2022-01-409,6,298.0
2020-07-120,6,294.75
2021-07-335,6,285.8333333333333
2023-01-604,6,281.2307692307692
2021-10-387,6,261.6666666666667
2021-07-318,6,224.75
2022-04-468,6,219.0
2020-01-32,6,214.25
2022-07-520,6,201.63888888888889
2023-01-632,6,195.7692307692308
2020-07-117,6,178.16666666666666
2021-10-347,6,170.6153846153846
2022-10-562,6,162.35
2022-04-465,6,141.15384615384616
2023-01-637,6,139.75
2020-04-47,6,128.5
2022-10-551,6,103.53846153846152
2021-10-376,6,96.41666666666669
2020-01-6,6,87.41666666666667
2020-01-17,6,79.5
2020-04-72,6,75.3076923076923
2022-07-497,6,61.8
2020-01-18,6,59.96
2022-07-529,6,56.52
2020-01-41,6,52.0
2023-01-597,6,51.84615384615385
2020-10-167,6,44.333333333333336
2020-10-179,6,44.16666666666666
2023-01-633,6,42.0
2021-01-204,6,40.41666666666666
2022-10-574,6,39.46153846153846
2020-10-160,6,33.833333333333336
2022-10-565,6,18.384615384615383
2021-07-332,6,14.923076923076923
2021-01-205,5,1114.6666666666667
2022-04-460,5,548.25
2022-10-576,5,499.0
2022-04-478,5,468.2307692307692
2020-04-63,5,374.6666666666667
2021-07-330,5,288.9166666666667
2023-01-599,5,284.4166666666667
2020-10-177,5,268.1666666666667
2020-01-15,5,266.3333333333333
2021-10-362,5,220.5
2022-04-469,5,204.58333333333331
2021-07-326,5,201.84615384615384
2021-01-227,5,190.75
2020-01-37,5,174.08333333333334
2020-10-151,5,167.69230769230768
2023-01-642,5,160.25
2022-04-477,5,152.0
2021-01-191,5,150.15384615384616
2020-10-164,5,147.16666666666666
2022-10-559,5,144.16666666666666
2023-01-638,5,134.53333333333333
2020-01-20,5,133.58333333333334
2021-10-385,5,129.5
2022-07-512,5,126.6153846153846
2022-04-492,5,124.1
2020-04-64,5,118.91666666666669
2020-10-138,5,118.66666666666669
2020-04-71,5,108.0
2020-04-80,5,107.32
2020-04-52,5,105.0
2023-01-624,5,99.66666666666669
2022-07-517,5,98.5
2021-10-354,5,94.08333333333331
2020-01-11,5,87.0
2020-04-51,5,83.0
2023-01-622,5,79.08333333333333
2022-04-464,5,78.83333333333333
2020-04-56,5,76.66666666666667
2022-01-420,5,75.83333333333333
2020-04-82,5,75.48
2020-01-42,5,73.66666666666667
2020-10-165,5,71.75
2021-07-334,5,70.5
2020-07-126,5,70.25
2020-04-94,5,70.0
2020-10-176,5,69.91666666666667
2021-10-370,5,63.5
2020-10-133,5,62.66666666666666
2020-01-29,5,60.583333333333336
2021-07-340,5,60.1
2020-04-62,5,58.31578947368421
2021-07-331,5,51.41666666666666
2021-10-363,5,51.41666666666666
2023-01-608,5,46.583333333333336
2021-07-314,5,44.92307692307692
2020-10-163,5,28.46153846153846
2021-01-239,5,6.636363636363637
2022-10-555,4,4512.4
2021-01-226,4,558.6363636363636
2021-07-309,4,524.2857142857143
2020-01-10,4,428.25
2022-08-542,4,389.25
2021-10-350,4,378.75
2020-01-2,4,287.61538461538464
2020-04-49,4,286.0833333333333
2021-07-322,4,283.0769230769231
2022-01-413,4,247.83333333333331
2020-01-27,4,239.1315789473684
2021-07-316,4,220.33333333333331
2021-01-220,4,204.75
2021-01-224,4,193.5
2022-10-578,4,191.75
2020-10-132,4,184.36
2020-10-142,4,182.58333333333331
2021-01-187,4,175.16666666666666
2021-10-361,4,165.04166666666666
2020-04-68,4,162.2264150943396
2023-01-611,4,160.21428571428572
2022-07-532,4,157.41666666666666
2022-04-445,4,151.16666666666666
2022-04-475,4,145.91666666666666
2022-01-406,4,139.58333333333334
2022-01-411,4,134.16
2021-10-381,4,128.08333333333334
2022-04-471,4,128.08333333333334
2022-04-473,4,125.91666666666669
2022-01-432,4,110.91666666666669
2022-04-463,4,108.58333333333331
2022-09-545,4,106.3076923076923
2022-01-435,4,106.16666666666669
2022-07-536,4,103.91666666666669
2022-10-550,4,101.07692307692308
2022-04-489,4,101.0
2021-01-188,4,100.33333333333331
2021-07-307,4,97.5
2021-07-323,4,96.15384615384616
2023-01-600,4,90.3846153846154
2020-04-50,4,87.38461538461539
2023-01-603,4,77.66666666666667
2021-01-213,4,77.16666666666667
2023-01-614,4,76.83333333333333
2022-01-415,4,75.5
2020-10-154,4,75.0
2021-10-392,4,72.25
2021-07-321,4,71.08333333333333
2021-01-221,4,69.75
2020-10-139,4,64.38461538461539
2022-10-594,4,60.75
2021-10-364,4,60.66666666666666
2020-07-129,4,54.25
2020-04-73,4,54.083333333333336
2022-01-429,4,54.0
2020-01-23,4,52.8
2020-10-175,4,52.27272727272727
2020-10-181,4,52.16666666666666
2020-04-53,4,51.583333333333336
2020-01-22,4,50.16666666666666
2021-01-223,4,49.66666666666666
2020-04-55,4,47.94736842105263
2023-01-635,4,44.25
2020-01-34,4,42.91666666666666
2020-01-8,4,42.46153846153846
2021-07-310,4,42.0
2022-01-403,4,39.875
2021-07-339,4,39.583333333333336
2021-01-233,4,30.58333333333333
2020-10-171,4,29.88888888888889
2021-01-234,4,27.0
2023-01-605,3,641.1666666666666
2022-10-581,3,612.72
2022-01-412,3,337.3333333333333
2022-07-498,3,320.1666666666667
2023-01-616,3,275.25
2020-10-146,3,274.24
2020-10-159,3,264.0833333333333
2020-10-170,3,255.41666666666663
2021-10-356,3,240.80769230769232
2022-04-491,3,187.41666666666663
2022-01-419,3,180.07692307692307
2023-01-618,3,175.33333333333334
2021-07-315,3,162.0
2020-01-19,3,150.75
2021-08-344,3,147.9047619047619
2022-07-534,3,146.66666666666666
