期間,時間,配信サイト
2020年1月3日 - 3月27日,金曜 22:00 更新,dアニメストア
2020年1月6日 - 3月30日,月曜 更新,AbemaTV
2020年1月10日以降 -,不明,ニコニコ生放送
2020年1月10日以降 -,不明,ニコニコチャンネル
2020年1月10日以降 -,不明,GYAO!
2020年1月10日以降 -,不明,ひかりTV
2020年1月10日以降 -,不明,dアニメストア
2020年1月10日以降 -,不明,FOD
2020年1月10日以降 -,不明,バンダイチャンネル
2020年1月10日以降 -,不明,Hulu
2020年1月10日以降 -,不明,J:COMオンデマンド
2020年1月10日以降 -,不明,ビデオパス
2020年1月10日以降 -,不明,アニメ放題
2020年1月10日以降 -,不明,U-NEXT
2020年1月10日以降 -,不明,Amazonプライム・ビデオ
2020年1月10日以降 -,不明,Rakuten TV
2020年1月10日以降 -,不明,DMM.com
2020年1月10日以降 -,不明,ビデオマーケット
2020年1月10日以降 -,不明,クランクイン！ビデオ
2020年1月10日以降 -,不明,HAPPY!動画
2020年1月10日以降 -,不明,ムービーフルPlus
