id,title,negative_correlation,weekly_tweet_user_clusters,mean_tweet_user_clusters
2021-01-205,五等分の花嫁∬,0.7543010635169172,U型(横ばい),中くらい
2021-01-200,ゆるキャン△ SEASON2,0.051314884977426686,U型(横ばい),中くらい
2022-07-538,ラブライブ!スーパースター!!（第2期）,-0.37134907111456683,U型(横ばい),中くらい
2022-01-412,からかい上手の高木さん3,0.8855729894755414,U型(横ばい),少ない
2021-10-350,結城友奈は勇者である -大満開の章-,-0.0860030976870725,U型(横ばい),少ない
2023-01-641,ポケットモンスター めざせポケモンマスター,0.7811548157754163,U型(横ばい),少ない
2022-01-416,明日ちゃんのセーラー服,0.40093163538009735,U型(横ばい),少ない
2023-01-605,お兄ちゃんはおしまい!,0.02227426344032152,U型(横ばい),少ない
2022-10-576,アキバ冥途戦争,0.733829837831949,U型(横ばい),少ない
2022-04-452,ラブライブ!虹ヶ咲学園スクールアイドル同好会（第2期）,-0.08130347487824592,W型(山型),中くらい
2022-01-431,プリンセスコネクト!Re:Dive Season2,-0.08795938011039502,W型(山型),中くらい
2022-04-484,SPY×FAMILY（Season 1 第1クール）,0.6723533934526267,W型(山型),多い
2020-07-122,彼女、お借りします（第1期）,-0.5290461048986973,W型(山型),少ない
2020-10-135,魔女の旅々,-0.11385257044341457,W型(山型),少ない
2020-01-7,映像研には手を出すな!,-0.028449259052559326,W型(山型),少ない
2022-04-480,かぐや様は告らせたい -ウルトラロマンティック-,-0.07184039536625171,W型(山型),少ない
2020-01-26,推しが武道館いってくれたら死ぬ,0.41803812273516805,W型(山型),少ない
2020-10-172,ご注文はうさぎですか? BLOOM,0.27060558960052655,W型(山型),少ない
2021-01-217,ワールドトリガー 2ndシーズン,0.40677641756255345,W型(山型),少ない
2022-01-417,その着せ替え人形は恋をする,0.6459836458627195,上昇,中くらい
2022-10-582,ぼっち・ざ・ろっく!,0.9287785890400037,上昇,多い
2021-12-401,鬼滅の刃 遊郭編,0.48600545677802026,上昇,多い
2022-07-500,リコリス・リコイル,0.7556209234960509,上昇,多い
2020-04-63,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,0.6130264015152701,上昇,少ない
2022-04-446,じゃんたま PONG☆,0.3391361921845386,上昇,少ない
2021-10-368,無職転生 〜異世界行ったら本気だす〜（第1期第2クール）,0.6146582809564972,上昇,少ない
2020-04-89,かぐや様は告らせたい？〜天才たちの恋愛頭脳戦〜,0.9096441492285372,上昇,少ない
2020-01-36,22/7,-0.09015376065202257,上昇,少ない
2020-10-147,ラブライブ!虹ヶ咲学園スクールアイドル同好会（第1期）,0.22431817331006218,上昇,少ない
2021-10-369,吸血鬼すぐ死ぬ,0.5771149598104092,上昇,少ない
2022-04-460,パリピ孔明,-0.1653171871817468,上昇,少ない
2020-01-3,マギアレコード 魔法少女まどか☆マギカ外伝,0.32938770702605247,下降,中くらい
2022-10-547,SPY×FAMILY（Season 1 第2クール）,0.5112111534228251,下降,中くらい
2022-10-588,チェンソーマン,0.3064714794930312,下降,多い
2020-10-136,アサルトリリィ BOUQUET,0.10260808045440276,下降,少ない
2023-01-609,にじよん あにめーしょん,0.23638918925539978,下降,少ない
2022-04-478,まちカドまぞく 2丁目,-0.06871565547813953,下降,少ない
2020-01-10,へやキャン△,0.10331550658805437,下降,少ない
2021-01-226,無職転生 〜異世界行ったら本気だす〜（第1期第1クール）,0.6731836665223133,下降,少ない
2022-10-552,ポプテピピック TVアニメーション作品第二シリーズ,0.02169368990699135,下降,少ない
2022-08-542,風都探偵,-0.1035935886136832,下降,少ない
2020-10-173,神様になった日,-0.243834125583259,下降,少ない
2022-01-423,進撃の巨人 The Final Season（Part 2）,-0.10485899143372053,下降,少ない
